,0,6,12,18,24,30,36,42,48,55,68,69,75,81,87,93,99,105,111,117,123,129,135,141,147,153,159,165,label,condition,side,condition-side,uniq-condition
p04.rsml,0.06192854130411156,0.06192854130411156,0.1857856239123347,0.1857856239123347,0.1857856239123347,0.3096427065205578,0.3096427065205578,0.3096427065205578,0.34060697717261357,0.34060697717261357,0.34060697717261357,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.3715712478246694,0.40253551847672514,0.40253551847672514,0.40253551847672514,0.40253551847672514,0.40253551847672514,0.40253551847672514,0.40253551847672514,3,HH,L,HH-L,homo-high
p05.rsml,0.28061535135091165,0.28061535135091165,0.28061535135091165,0.28061535135091165,0.28061535135091165,0.28061535135091165,0.28061535135091165,0.28061535135091165,0.28061535135091165,0.336738421621094,0.37415380180121555,0.39286149189127634,0.39286149189127634,0.39286149189127634,0.39286149189127634,0.39286149189127634,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0.41156918198133713,0,LL,L,LL-L,homo-low
p06.rsml,0.3207746725611542,0.3207746725611542,0.36087150663129847,0.3809199236663706,0.42101675773651487,0.4611135918066592,0.4611135918066592,0.4611135918066592,0.5212588429118756,0.5413072599469477,0.5413072599469477,0.5413072599469477,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,0.5613556769820198,2,HL,L,HL-L,hetero-high
p09.rsml,0.23854051083598732,0.2602260118210771,0.2602260118210771,0.2602260118210771,0.3035970137912566,0.3035970137912566,0.32528251477634634,0.3469680157614361,0.36865351674652586,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,0.41202451871670537,1,LH,L,LH-L,hetero-low
p10.rsml,0.2753075478167671,0.2753075478167671,0.2753075478167671,0.2753075478167671,0.30283830259844374,0.33036905738012046,0.33036905738012046,0.35789981216179717,0.35789981216179717,0.35789981216179717,0.3854305669434739,0.3854305669434739,0.3854305669434739,0.4129613217251506,0.4404920765068273,0.4404920765068273,0.4404920765068273,0.4404920765068273,0.4404920765068273,0.468022831288504,0.468022831288504,0.468022831288504,0.468022831288504,0.468022831288504,0.468022831288504,0.468022831288504,0.468022831288504,0.468022831288504,3,HH,L,HH-L,homo-high
p11.rsml,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0.42296285547168505,0,LL,L,LL-L,homo-low
p13.rsml,0.3422408799185078,0.38250451285009696,0.4630317787132753,0.5435590445764535,0.5636908610422482,0.5838226775080427,0.6039544939738373,0.6442181269054265,0.664349943371221,0.6844817598370156,0.7247453927686047,0.7247453927686047,0.7247453927686047,0.7247453927686047,0.7247453927686047,0.7247453927686047,0.7247453927686047,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,0.7448772092343994,3,HH,L,HH-L,homo-high
p14.rsml,0.05206432536108007,0.05206432536108007,0.05206432536108007,0.05206432536108007,0.05206432536108007,0.05206432536108007,0.10412865072216014,0.10412865072216014,0.10412865072216014,0.1561929760832402,0.20825730144432028,0.3123859521664804,0.3123859521664804,0.3123859521664804,0.3123859521664804,0.3123859521664804,0.3123859521664804,0.3123859521664804,0.3123859521664804,0.3644502775275605,0.3644502775275605,0.3644502775275605,0.3644502775275605,0.3644502775275605,0.3644502775275605,0.3644502775275605,0.3644502775275605,0.3644502775275605,0,LL,L,LL-L,homo-low
p15.rsml,0.32438558281829205,0.34346708768995626,0.40071160230494896,0.4579561169199417,0.4770376217916059,0.5152006315349343,0.5152006315349343,0.5342821364065986,0.5342821364065986,0.5533636412782629,0.5915266510215913,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,0.6106081558932556,1,LH,L,LH-L,hetero-low
