,0,6,12,18,24,30,36,42,48,55,68,69,75,81,87,93,99,105,111,117,123,129,135,141,147,153,159,165,label,condition,side,condition-side,uniq-condition
p33.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,7.0,9.0,10.0,11.0,11.0,12.0,14.0,15.0,15.0,15.0,17.0,17.0,18.0,21.0,21.0,21.0,1,LH,L,LH-L,hetero-low
p34.rsml,0.0,1.0,3.0,4.0,4.0,5.0,6.0,6.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,13.0,15.0,15.0,17.0,18.0,20.0,21.0,21.0,23.0,24.0,25.0,25.0,25.0,3,HH,L,HH-L,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,LL,L,LL-L,homo-low
p36.rsml,0.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,10.0,13.0,14.0,15.0,16.0,18.0,20.0,22.0,24.0,24.0,24.0,25.0,26.0,26.0,2,HL,L,HL-L,hetero-high
p38.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,LL,L,LL-L,homo-low
p39.rsml,0.0,1.0,3.0,3.0,3.0,5.0,6.0,6.0,8.0,9.0,9.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,16.0,16.0,18.0,20.0,21.0,23.0,23.0,24.0,24.0,24.0,1,LH,L,LH-L,hetero-low
p40.rsml,0.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,14.0,14.0,14.0,15.0,15.0,18.0,20.0,21.0,22.0,22.0,23.0,25.0,26.0,26.0,26.0,3,HH,L,HH-L,homo-high
p45.rsml,0.0,2.0,5.0,5.0,5.0,7.0,7.0,9.0,10.0,11.0,11.0,12.0,13.0,14.0,17.0,20.0,20.0,21.0,23.0,25.0,28.0,30.0,30.0,32.0,33.0,34.0,34.0,34.0,2,HL,L,HL-L,hetero-high
p47.rsml,0.0,0.0,0.0,0.0,2.0,4.0,6.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,0,LL,L,LL-L,homo-low
p48.rsml,0.0,0.0,0.0,1.0,4.0,5.0,6.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,13.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1,LH,L,LH-L,hetero-low
p50.rsml,0.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,LL,L,LL-L,homo-low
