,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition
0,0.0,0.0497853294413695,21.310971496292066,-29.877062379813182,0.0186964735095507,0.1465778897065595,0.0,5.443062385028943,0,L,LL
1,0.0,0.0015780825322375,,,,,0.0,6.192068872740154,0,L,LL
2,0.0,0.0284460799563431,10.79963605774939,-25.152206453957103,0.0124034956583453,0.0492786426895039,0.0,7.343888872740153,0,L,LL
3,0.0,0.0263189879914583,7.939047289335116,17.50856775281316,0.0113518419893684,0.0331543291174284,0.0,10.674673153965186,0,L,LL
4,0.0,0.0009753086419753,0.9557813984873356,-39.23009026314347,0.0364774531832175,0.0128259221879418,0.0,11.235887952950383,0,L,LL
5,0.0,0.0476290298133354,43.31961371786013,203.69492288301228,0.0030467077231364,0.0485535385976918,0.0,11.975283365048064,0,L,LL
6,0.0,0.0899201029720475,51.882775161312814,157.53189489170057,0.0053334044759187,0.1017965916452798,0.0,12.701968086624465,0,L,LL
7,0.0026999999999972,0.0044360658618281,0.4507341081758948,13.86759051226109,0.1325488073303594,0.0219786880949339,53.9973,14.48997673594332,0,L,LL
8,0.0,0.0086451205731887,2.321442755024865,16.374927698306852,0.0211141978507212,0.0180317585599667,0.0,14.541738317256105,0,L,LL
9,0.0,0.0552439744965236,14.445330081540936,69.54099283198032,0.013028644349506,0.0692360395354248,0.0,16.806957777640356,0,L,LL
10,0.0,0.0589620553280798,14.266844618925518,48.98823863535175,0.0142416131395863,0.0747468050067889,0.0,17.354707569059762,0,L,LL
11,0.0,0.015840186540422,3.746571278699271,14.541082680688485,0.0276314267785144,0.0380840238396289,0.0,18.697125614452823,0,L,LL
12,0.0,0.0175454984018911,3.1194020089737915,38.58816377815765,0.0276669193223184,0.0317495569490234,0.0,19.790279447192223,0,L,LL
13,0.0,0.0466967314195993,11.731173113702283,23.715127139912177,0.0166567273251244,0.0718847286962666,0.0,21.97831055313661,0,L,LL
14,0.0,0.0224001322893444,5.136730293718604,44.6811463118796,0.0176466422330329,0.0333468151800213,0.0,24.09049661388518,0,L,LL
15,0.0,0.0040259925457505,1.1423168350036577,-8.247985521412673,0.0442738474951572,0.0186054149406475,0.0,27.048260729452103,0,L,LL
16,0.0015,0.0017318566650193,0.23393368394539,50.0560665026334,0.0228126896468727,0.0019632462219052,59.9985,29.68985728620155,1,L,LL
17,0.0026999999999972,0.0068031896621471,0.7848936737998433,30.54527692226516,0.0263996297748951,0.007622793995838,53.9973,38.90316367112502,1,L,LL
