,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side
0,-0.002200000000001978,0.02322532713428469,3.772069950686618,48.03622237112688,0.022480937912497296,0.031196055344656557,42.0022,3.3544744654017835,1,L
1,0.0007999999999981355,0.0069798789417038435,0.784747685213182,13.377572780337399,0.03696928729643755,0.010672757447783367,59.9992,5.337940918357317,1,L
2,-0.00019999999999953388,0.04446752438782691,6.271938749444521,33.64866903970405,0.03839268914789908,0.08858411671706261,48.0002,6.1770998023000425,1,L
3,-0.002200000000001978,0.05714549288006982,8.115031849424826,35.37182151079827,0.035838407917502355,0.10699031227680968,42.0022,7.330186313120217,1,L
4,0.0007999999999981355,0.1319136100257741,30.886619269826245,97.87008897953447,0.016577895683321603,0.18836720567562182,59.9992,13.791942033296447,1,L
5,0.0009000000000014552,0.14138853549533179,26.291266200101152,73.97648391583324,0.017282032980885004,0.1671521049886682,65.9991,14.58721938145871,1,L
6,0.001300000000000523,0.09498505555811422,18.560431748313267,80.97644991322719,0.018025614704318405,0.12307891990381027,77.9987,17.79826087153711,2,L
7,0.002300000000005298,0.09549123938176289,13.067952279425004,55.2183032858132,0.02431947610687781,0.11691420289759111,89.9977,18.035260871537112,2,L
8,0.002300000000005298,0.08770896557205721,11.597130372127866,53.73264715269832,0.025864939763940713,0.11034877817643253,89.9977,19.735814256676594,2,L
9,0.0007999999999981355,0.126934114848298,22.29727111525115,71.40259496485238,0.02079072633416373,0.17054024969097306,95.9992,23.157994917062897,2,L
10,0.00190000000000623,0.0468661031519838,6.242644551562835,50.701415881157054,0.028274049205120184,0.06493250161666315,131.9981,25.67008950680206,2,L
11,0.0007999999999981355,0.09849879718789803,16.420336637161633,71.07256552588083,0.024434110641551553,0.1475992363865279,95.9992,26.535139506802064,2,L
12,0.0014999999999929514,0.09736106044840558,10.602458209624814,46.49824897649311,0.03141148720265769,0.12251819398621291,107.9985,30.040317118547986,2,L
13,0.0014999999999929514,0.11465016909080515,14.09929130074369,53.29853989217712,0.03052218957638734,0.1583136956104224,107.9985,31.803562124865685,2,L
14,0.00190000000000623,0.07485944160759637,8.096530319456376,43.84650282669524,0.03780969146281332,0.11261794494336819,131.9981,34.06521746927677,2,L
15,0.0020999999999986585,0.06324907428920731,7.416410357357238,47.583139463118165,0.03142714539534242,0.08574409179062834,125.9979,34.79076788596964,2,L
16,0.0033999999999991815,0.09466335767625382,10.135437155154307,47.03873537471058,0.03644844280681354,0.13590235479045748,119.9966,36.233043357928864,2,L
17,0.0020999999999986585,0.07501829662247912,6.983810646999961,41.63543228331524,0.0440080858561566,0.11306558993941546,125.9979,40.42640863348109,2,L
18,0.002299999999991087,0.07056380484944816,7.321873498277596,42.16339425683821,0.04534424074700069,0.1221377383128784,137.9977,42.59768870290723,2,L
19,0.00380000000001246,0.06353665790050392,3.645155448250731,23.91350052785826,0.06092813180895223,0.0817032690613401,149.9962,44.11522914717881,2,L
20,0.0020000000000095497,0.053754264989576785,4.121561319204294,34.038571821431084,0.06315160661852895,0.09575284518312276,143.998,45.71047191577812,2,L
21,0.00380000000001246,0.10372457173428382,5.224290423780776,22.86356833656872,0.08425013192499652,0.16192109030414237,149.9962,47.83344800577409,2,L
22,0.00380000000001246,0.07051998223670394,4.530020267366388,28.810851665073095,0.07584118706581996,0.1263894386933567,149.9962,50.799901840396416,2,L
23,,,,,,,167.9957,53.211461383829544,2,L
24,0.004199999999997317,0.06950347435929295,2.001030391199758,16.098014496577964,0.21570496485113097,0.15878860892230395,161.9958,55.484121358018754,2,L
25,,,,,,,173.9962,59.24108104450949,2,L
26,,,,,,,179.9974,66.10356002819114,2,L
27,0.0,0.04835626517015754,,,,,0.0,1.1714952192924228,0,R
28,0.001300000000000523,0.01985433255759856,2.1780209110293156,26.381212954610277,0.04579118355621123,0.036690145327111894,77.9987,7.1203617117774085,1,R
29,0.0009000000000014552,0.011911525396551468,1.4578484503088573,33.8729220564947,0.04445071296510433,0.023839471806364074,65.9991,8.699199619759979,1,R
30,0.004199999999997317,0.02072966843476604,0.6305785660156662,10.4035485674989,0.10726269495782992,0.0248824664408793,161.9958,11.436701155333923,1,R
31,,,,,,,173.9962,22.98441752104788,2,R
