,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side
0,0.0,0.14603521897137003,15.822895699290957,37.623796691305216,0.028616699702533197,0.16657546318800895,0.0,3.083285134552209,0,L
1,0.0,0.18737067426108742,21.664302036232954,46.05187670711933,0.029465593055400256,0.23483639589747457,0.0,3.8280814439039905,0,L
2,0.0,0.14338328113477455,13.037190992494798,28.52314483889666,0.04935326043844916,0.23670388982556284,0.0,4.550693275373074,0,L
3,-1.7234999999999996,0.22531856438009878,21.726788546161217,36.44432427405978,0.04450759499466654,0.3557420334504041,7.7235,4.7897417145020516,1,L
4,-7.727599999999999,0.282460536792469,79.29476946276439,88.19235754801464,0.02034949148711133,0.5936132961863306,19.7276,4.837551402327847,1,L
5,-7.727599999999999,0.20752601253043595,32.46095194503301,61.73097603302403,0.02454008917968585,0.2930507967380943,19.7276,6.303346693420095,1,L
6,-7.727599999999999,0.16129727275215902,16.923742374558397,42.23786319634619,0.03185899228095883,0.1983508008739629,19.7276,7.1832084182999685,1,L
7,-1.7234999999999996,0.24572654528902516,44.5222012009867,70.0830446545999,0.02158702753605268,0.3535696605219969,7.7235,7.467928900922837,1,L
8,-13.7209,0.3032312576825217,42.43595801169918,54.880359586630924,0.027201872792643748,0.42465704607332405,31.7209,9.364040477440113,1,L
9,-25.731299999999997,0.1119924350063958,8.88308456318267,32.29795719442299,0.0450667442900408,0.14727380226895181,55.7313,9.914260873872307,1,L
10,-25.731299999999997,0.16593000885890874,13.590053028331555,31.880150754502058,0.042156640605354144,0.2107621716501166,55.7313,13.70445398437055,1,L
11,-25.731299999999997,0.19768807837154895,13.034859920507076,21.035678141290266,0.06773223189373533,0.324793457983212,55.7313,14.643524429012485,1,L
12,-31.727199999999996,0.1576090119120275,11.462778556416222,28.93946650884051,0.048576746123013784,0.20484427993068438,67.7272,16.156070001645936,1,L
13,-31.727199999999996,0.14386161487687948,9.027419911130725,22.293966438691186,0.06496239124982335,0.21574024374645717,67.7272,16.478010752794344,1,L
14,-37.719300000000004,0.2037745708379728,14.531674673095434,29.53349055474304,0.05151429230954915,0.2753904797581179,79.7193,20.208893092259906,2,L
15,-43.7221,0.15221246853745005,9.270461731963795,25.578872600436203,0.05667735206277292,0.19329313754962327,91.7221,22.630624451006142,2,L
16,-50.257400000000004,0.16164884151902223,7.68205282812501,18.91060031439305,0.07877834710244783,0.22263306836599814,104.2574,24.63949365875699,2,L
