,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition
0,0.0,0.0817044272683043,11.303772089061969,1.0676494384002024,0.0417682607031855,0.1736901945200367,0.0,3.2177188552208533,0,L,LL
1,0.0,0.0674943972676366,10.40608671519636,5.6253301772765525,0.0321698757946299,0.1231522477291427,0.0,4.422690118675053,0,L,LL
2,0.0,0.0849003102516273,12.490374220444515,3.882691310622121,0.0522535302009702,0.2401024572641186,0.0,5.09656667330119,0,L,LL
3,0.0,0.0045213744199222,0.6914358367759469,2.53940081087666,0.6194655027377586,0.157570360716469,0.0,6.170717800909146,0,L,LL
4,-9.999999999976694e-05,0.0063551748154038,0.9589923245166188,12.571922660925368,0.0880219787541602,0.0310535872808511,6.0001,10.405513670315331,0,L,LL
5,0.0,0.1246353942827192,41.90140073959768,131.532917275503,0.011022257027301,0.1699043873672228,0.0,10.920976411548878,0,L,LL
6,0.0,0.0587480485473514,12.486997609575598,25.47556216097172,0.0160991858216939,0.0739549861117847,0.0,12.00215960588263,0,L,LL
7,0.0,0.0543741445041467,7.357107842311386,30.34225965428984,0.0261527405830992,0.0707831435384785,0.0,13.26370958167698,0,L,LL
8,0.0002999999999993,0.0212656818014462,2.935196637737385,53.816306046355,0.0227580215427481,0.0245740774979527,11.9997,15.09127503655288,0,L,LL
9,-9.999999999976694e-05,0.0214175052256351,3.220380190011812,45.28523617489828,0.0381051942065681,0.0451436680606989,6.0001,16.7411296672722,0,L,LL
10,0.0,0.0452949785369923,8.277280126946684,69.43941475429064,0.0239570970567199,0.0729503472711416,0.0,18.247419066266445,0,L,LL
11,0.0,0.0182426202869131,2.5155216440553327,24.880461514065253,0.0548133594469383,0.0507247595258814,0.0,20.61169053708398,0,L,LL
12,0.0021999999999984,0.0296503539623955,3.176429502285038,40.17907482596065,0.0374910534085758,0.0438099121555227,23.9978,22.907370074275043,1,L,LL
13,-2.9095000000000013,0.0142115657295003,1.4775645686639636,18.51959169337473,0.0658414675502184,0.0357891586451837,56.9095,24.056188172060764,1,L,LL
14,-2.9080000000000013,0.013431355355313,1.4746139296718912,13.03179914436704,0.0796534436363432,0.0432104119237231,50.908,25.78368436728303,1,L,LL
15,-8.046300000000002,0.0017753428487672,,,,,92.0463,28.44451664520265,1,L,LL
16,-9.999999999976694e-05,0.0471445638139795,8.212590005624916,74.73354705933878,0.0206778855255598,0.0624729173504929,6.0001,29.168868674812565,1,L,LL
17,-2.907499999999999,0.0402851320865196,5.740138210967934,57.040408494761,0.0219556123052248,0.0463632018648567,62.9075,31.62847378261403,1,L,LL
18,0.0015,0.0419641256305805,5.140037387473245,37.86639903288418,0.064576796755219,0.1221091743357794,29.9985,33.45668055152724,1,L,LL
