,0,6,12,18,24,30,44,45,51,57,63,69,75,81,92,93,99,105,111,117,123,129,135,141,151,164,165,label,condition,side,condition-side,uniq-condition
p27.rsml,7.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,14.0,15.0,15.0,15.0,15.0,15.0,17.0,17.0,1,LH,L,LH-L,hetero-low
p29.rsml,10.0,10.0,11.0,12.0,12.0,13.0,13.0,13.0,15.0,15.0,15.0,16.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,22.0,22.0,24.0,0,LL,L,LL-L,homo-low
p32.rsml,10.0,10.0,10.0,11.0,11.0,13.0,13.0,14.0,14.0,15.0,15.0,16.0,17.0,20.0,20.0,21.0,21.0,22.0,23.0,24.0,24.0,27.0,28.0,29.0,33.0,34.0,34.0,3,HH,L,HH-L,homo-high
p33.rsml,16.0,17.0,19.0,20.0,20.0,24.0,25.0,25.0,25.0,29.0,30.0,30.0,30.0,30.0,31.0,32.0,32.0,32.0,33.0,35.0,35.0,36.0,38.0,39.0,42.0,42.0,42.0,0,LL,L,LL-L,homo-low
p34.rsml,8.0,8.0,10.0,10.0,11.0,13.0,14.0,17.0,19.0,19.0,21.0,22.0,22.0,27.0,27.0,30.0,30.0,33.0,33.0,35.0,38.0,39.0,40.0,43.0,43.0,47.0,47.0,2,HL,L,HL-L,hetero-high
p35.rsml,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,15.0,15.0,15.0,16.0,16.0,19.0,19.0,19.0,19.0,1,LH,L,LH-L,hetero-low
p36.rsml,13.0,14.0,14.0,15.0,17.0,17.0,17.0,18.0,18.0,20.0,21.0,22.0,23.0,25.0,26.0,27.0,27.0,28.0,29.0,30.0,30.0,32.0,33.0,35.0,37.0,38.0,38.0,3,HH,L,HH-L,homo-high
p37.rsml,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0,16.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,22.0,22.0,24.0,27.0,27.0,27.0,0,LL,L,LL-L,homo-low
p39.rsml,21.0,22.0,23.0,26.0,28.0,29.0,29.0,30.0,31.0,31.0,31.0,32.0,32.0,33.0,34.0,35.0,35.0,35.0,35.0,35.0,36.0,38.0,41.0,42.0,43.0,45.0,45.0,1,LH,L,LH-L,hetero-low
p40.rsml,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0,12.0,13.0,15.0,15.0,16.0,17.0,17.0,18.0,3,HH,L,HH-L,homo-high
p44.rsml,4.0,4.0,6.0,8.0,9.0,10.0,10.0,12.0,13.0,14.0,16.0,16.0,17.0,19.0,19.0,19.0,21.0,23.0,27.0,29.0,30.0,30.0,31.0,33.0,34.0,38.0,38.0,3,HH,L,HH-L,homo-high
p45.rsml,13.0,13.0,16.0,17.0,18.0,20.0,20.0,21.0,23.0,24.0,25.0,26.0,28.0,30.0,30.0,30.0,32.0,32.0,33.0,34.0,35.0,35.0,36.0,37.0,40.0,41.0,41.0,0,LL,L,LL-L,homo-low
p46.rsml,15.0,15.0,15.0,15.0,15.0,16.0,16.0,17.0,18.0,18.0,19.0,20.0,23.0,25.0,26.0,26.0,27.0,28.0,31.0,32.0,34.0,36.0,36.0,39.0,41.0,43.0,44.0,2,HL,L,HL-L,hetero-high
p47.rsml,12.0,13.0,13.0,14.0,15.0,16.0,18.0,18.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,24.0,25.0,25.0,26.0,29.0,32.0,33.0,33.0,33.0,1,LH,L,LH-L,hetero-low
p48.rsml,24.0,26.0,26.0,29.0,31.0,32.0,33.0,34.0,36.0,37.0,37.0,41.0,42.0,45.0,46.0,46.0,48.0,50.0,51.0,51.0,52.0,54.0,55.0,56.0,60.0,63.0,63.0,3,HH,L,HH-L,homo-high
p49.rsml,13.0,13.0,13.0,16.0,16.0,18.0,18.0,20.0,22.0,22.0,23.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,30.0,32.0,35.0,35.0,36.0,0,LL,L,LL-L,homo-low
p50.rsml,10.0,10.0,10.0,15.0,18.0,19.0,19.0,21.0,22.0,23.0,24.0,25.0,27.0,27.0,28.0,31.0,33.0,35.0,37.0,39.0,40.0,40.0,43.0,45.0,47.0,49.0,49.0,2,HL,L,HL-L,hetero-high
p51.rsml,3.0,3.0,3.0,3.0,5.0,6.0,6.0,10.0,10.0,12.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,19.0,21.0,21.0,22.0,22.0,25.0,26.0,27.0,27.0,1,LH,L,LH-L,hetero-low
p52.rsml,22.0,27.0,28.0,29.0,29.0,32.0,32.0,33.0,33.0,33.0,33.0,34.0,34.0,39.0,39.0,40.0,41.0,42.0,42.0,44.0,45.0,46.0,47.0,51.0,55.0,55.0,55.0,3,HH,L,HH-L,homo-high
p53.rsml,6.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,13.0,14.0,15.0,16.0,17.0,17.0,18.0,18.0,19.0,19.0,20.0,22.0,24.0,24.0,24.0,25.0,0,LL,L,LL-L,homo-low
p55.rsml,5.0,7.0,8.0,8.0,12.0,14.0,14.0,17.0,18.0,19.0,20.0,22.0,23.0,23.0,23.0,23.0,23.0,25.0,27.0,28.0,28.0,29.0,30.0,31.0,31.0,32.0,32.0,1,LH,L,LH-L,hetero-low
p57.rsml,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,16.0,18.0,18.0,0,LL,L,LL-L,homo-low
p58.rsml,10.0,12.0,15.0,15.0,19.0,22.0,22.0,23.0,24.0,26.0,27.0,32.0,33.0,35.0,36.0,37.0,39.0,41.0,41.0,43.0,44.0,45.0,47.0,53.0,55.0,58.0,58.0,2,HL,L,HL-L,hetero-high
p59.rsml,8.0,9.0,9.0,9.0,12.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,1,LH,L,LH-L,hetero-low
p60.rsml,15.0,15.0,16.0,16.0,17.0,20.0,20.0,21.0,24.0,24.0,26.0,27.0,27.0,30.0,30.0,32.0,33.0,34.0,35.0,36.0,38.0,41.0,41.0,44.0,47.0,48.0,48.0,3,HH,L,HH-L,homo-high
p61.rsml,11.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,16.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0,23.0,23.0,23.0,23.0,25.0,25.0,26.0,28.0,31.0,31.0,31.0,0,LL,L,LL-L,homo-low
p62.rsml,5.0,8.0,8.0,8.0,13.0,16.0,16.0,19.0,19.0,22.0,23.0,23.0,23.0,23.0,24.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,2,HL,L,HL-L,hetero-high
p63.rsml,14.0,16.0,18.0,18.0,21.0,26.0,26.0,27.0,28.0,30.0,31.0,31.0,31.0,31.0,32.0,32.0,33.0,34.0,37.0,37.0,39.0,40.0,40.0,42.0,44.0,46.0,48.0,1,LH,L,LH-L,hetero-low
p64.rsml,3.0,3.0,5.0,5.0,6.0,10.0,10.0,11.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,23.0,23.0,26.0,28.0,28.0,30.0,32.0,32.0,32.0,3,HH,L,HH-L,homo-high
p65.rsml,4.0,4.0,4.0,4.0,6.0,10.0,10.0,12.0,12.0,14.0,16.0,19.0,20.0,20.0,21.0,23.0,23.0,25.0,27.0,28.0,29.0,30.0,32.0,35.0,36.0,37.0,37.0,3,HH,L,HH-L,homo-high
p66.rsml,2.0,2.0,3.0,3.0,3.0,6.0,6.0,7.0,8.0,10.0,12.0,14.0,16.0,17.0,17.0,21.0,22.0,24.0,24.0,26.0,27.0,28.0,29.0,30.0,32.0,33.0,34.0,2,HL,L,HL-L,hetero-high
