,hit_hour,side
p04.rsml,141.0,L
p04.rsml,129.0,R
p05.rsml,164.0,L
p05.rsml,,R
p06.rsml,135.0,L
p06.rsml,135.0,R
p07.rsml,164.0,L
p07.rsml,135.0,R
p10.rsml,,L
p10.rsml,,R
p11.rsml,,L
p11.rsml,117.0,R
p12.rsml,117.0,L
p12.rsml,151.0,R
p13.rsml,,L
p13.rsml,,R
p14.rsml,164.0,L
p14.rsml,123.0,R
p15.rsml,117.0,L
p15.rsml,117.0,R
p17.rsml,,L
p17.rsml,135.0,R
p18.rsml,141.0,L
p18.rsml,151.0,R
p19.rsml,,L
p19.rsml,129.0,R
p20.rsml,129.0,L
p20.rsml,117.0,R
p21.rsml,151.0,L
p21.rsml,129.0,R
p22.rsml,141.0,L
p22.rsml,129.0,R
p23.rsml,,L
p23.rsml,,R
p24.rsml,164.0,L
p24.rsml,123.0,R
p25.rsml,164.0,L
p25.rsml,,R
p26.rsml,141.0,L
p26.rsml,,R
p27.rsml,,L
p27.rsml,105.0,R
p29.rsml,,L
p29.rsml,151.0,R
p32.rsml,141.0,L
p32.rsml,123.0,R
p33.rsml,164.0,L
p33.rsml,151.0,R
p34.rsml,135.0,L
p34.rsml,151.0,R
p35.rsml,,L
p35.rsml,111.0,R
p36.rsml,164.0,L
p36.rsml,164.0,R
p37.rsml,,L
p37.rsml,151.0,R
p39.rsml,135.0,L
p39.rsml,117.0,R
p40.rsml,,L
p40.rsml,164.0,R
p44.rsml,164.0,L
p44.rsml,123.0,R
p45.rsml,164.0,L
p45.rsml,141.0,R
p46.rsml,164.0,L
p46.rsml,,R
p47.rsml,,L
p47.rsml,117.0,R
p48.rsml,105.0,L
p48.rsml,111.0,R
p49.rsml,,L
p49.rsml,,R
p50.rsml,135.0,L
p50.rsml,129.0,R
p51.rsml,,L
p51.rsml,151.0,R
p52.rsml,123.0,L
p52.rsml,135.0,R
p53.rsml,,L
p53.rsml,,R
p55.rsml,,L
p55.rsml,164.0,R
p57.rsml,,L
p57.rsml,,R
p58.rsml,123.0,L
p58.rsml,,R
p59.rsml,,L
p59.rsml,151.0,R
p60.rsml,141.0,L
p60.rsml,105.0,R
p61.rsml,,L
p61.rsml,,R
p62.rsml,,L
p62.rsml,,R
p63.rsml,141.0,L
p63.rsml,129.0,R
p64.rsml,151.0,L
p64.rsml,135.0,R
p65.rsml,151.0,L
p65.rsml,123.0,R
p66.rsml,164.0,L
p66.rsml,135.0,R
p69.rsml,151.0,L
p69.rsml,151.0,R
p70.rsml,151.0,L
p70.rsml,123.0,R
p71.rsml,164.0,L
p71.rsml,117.0,R
