,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side
0,0.0,0.20817740569455156,35.84583654271908,67.45460931246068,0.020195800971244498,0.26632094320952215,0.0,1.2613330501649094,0,L
1,0.0,0.24230445472858114,39.93066184450559,63.06932128704064,0.021382920981661842,0.31410804355431715,0.0,1.9739310044841722,0,L
2,0.0,0.13406257044478387,16.142292412555662,48.043171853407806,0.029227563997326237,0.17356547787356577,0.0,3.1811471954263904,0,L
3,0.0,0.18929215745997263,43.29816181608374,84.37436718773087,0.02052093032531356,0.326867712000891,0.0,4.138760827219134,0,L
4,-1.7237999999999998,0.21537704469244479,61.73588778751052,93.08558891896834,0.019050267765057808,0.4326575635949947,7.7238,5.080809186758697,1,L
5,-13.721,0.1624586331506485,46.40815127354684,91.34177433993858,0.017106689432548276,0.2920557473708789,31.721,7.730251606125481,1,L
6,-13.721,0.0488619742481049,3.942111319033697,29.419599191636706,0.03999259186500597,0.05799812492507721,31.721,8.795165159518433,1,L
7,-25.7324,0.2056105812901426,19.24570636694742,34.738544504391456,0.033017380363404215,0.23376634491211554,55.7324,10.952096869407015,1,L
8,-19.7241,0.22139747801423001,38.16805412498873,63.85161161574397,0.024655442758079595,0.34619304879046015,43.7241,11.922147912465254,1,L
9,-25.7324,0.18945045919159542,17.38210974633448,36.534559233276454,0.03905442373108319,0.24973432565613218,55.7324,15.376986097952365,1,L
10,-31.728399999999993,0.22644481037950528,15.98833436858566,26.46245169245973,0.048678882959992294,0.28631845649897436,67.7284,17.68895369063332,1,L
11,-31.728399999999993,0.2084686247736709,16.804954444793164,33.36203371074383,0.04496085541469592,0.2779568767051708,67.7284,18.51800775035068,2,L
12,-43.7234,0.12446642677174337,7.346622016780437,24.946256730352818,0.0631927571176274,0.1707892448387512,91.7234,19.991196759959582,2,L
13,-43.7234,0.22402648812556716,12.02729014660724,20.645434724454052,0.06707525794345053,0.29678070187509853,91.7234,20.925554043443796,2,L
14,-43.7234,0.2336997301435641,12.78475228806525,24.3892451235931,0.07863643266194949,0.3698466074689778,91.7234,23.26756259138416,2,L
15,-61.723299999999995,0.09498128064484686,5.638807672614858,22.628676264597804,0.056920283568546025,0.1180755168038186,127.7233,24.75132884528974,2,L
16,-50.2589,0.1434047680750148,6.610239431830104,18.974361830599744,0.08374826311351022,0.20365661330048088,104.2589,26.250957364203604,2,L
17,-55.7192,0.11541532581791156,4.499779572656956,15.31292598316228,0.0965267988111046,0.15978818419663374,115.7192,27.92810463306047,2,L
18,-55.7192,0.16676626436191194,6.383197381201356,16.54886431591042,0.10905202968095935,0.25608111086435864,115.7192,29.907332437468348,2,L
19,-55.7192,0.142529852170914,5.418310270827985,16.977699482517412,0.11430492812140615,0.22784229345253879,115.7192,31.564003526327625,2,L
20,,,,,,,139.7336,33.51544383706205,2,L
21,,,,,,,139.7336,34.04457095078405,2,L
22,,,,,,,139.7336,35.06404215255974,2,L
23,,,,,,,151.7248,36.75301301516472,2,L
24,,,,,,,139.7336,37.733122560062625,2,L
25,,,,,,,139.7336,38.93051953347453,2,L
26,,,,,,,151.7248,40.3059311033434,2,L
27,,,,,,,151.7248,41.76400746787921,2,L
28,,,,,,,151.7248,42.63379684796811,2,L
29,,,,,,,151.7248,43.33951108200693,2,L
30,,,,,,,168.0996,45.618719570057195,2,L
31,,,,,,,151.7248,46.01948284039268,2,L
32,-1.7237999999999998,0.07444919915957124,7.508681676338249,38.63000217567553,0.032019762055829466,0.08844785633048638,7.7238,2.1839675830604754,1,R
33,-1.7237999999999998,0.06873562910728304,6.664662086789837,31.995346100680507,0.036240727817072625,0.08885473248262668,7.7238,3.355689896956638,1,R
34,-13.721,0.06432128265723668,6.161866650153926,39.44239453844186,0.03507421721314941,0.07950707945852582,31.721,5.659148781815958,1,R
35,-37.7205,0.0778909596989978,5.9174621258440006,30.014426130666326,0.039822347976935485,0.08668977346226135,79.7205,6.810233136258849,1,R
36,-7.727699999999999,0.07231228094880209,6.030047283767665,30.856000127522208,0.053883739015050336,0.11953193766929729,19.7277,7.4161720198312775,1,R
37,-13.721,0.07503914456880506,6.254059744270446,30.201026791391516,0.041866999017146043,0.09632507947675756,31.721,8.056735982464986,1,R
38,-13.721,0.0773035693346123,6.060153819397946,29.542554537220763,0.06220914288311891,0.13868943642915782,31.721,9.986440278637819,1,R
39,-19.7241,0.10818514627917766,7.067185163595526,24.669536394863197,0.10600989001516643,0.27561215841047787,43.7241,11.436301216969495,1,R
40,-19.7241,0.1176017257728093,9.635716233683173,33.217819813306996,0.0477609286712403,0.16930207564023672,43.7241,13.335205079885206,1,R
41,-25.7324,0.10040244121366906,7.632347762548425,29.7687223899053,0.04848946588467591,0.13614793822238522,55.7324,15.157248753379438,1,R
42,-25.7324,0.06809485630205127,4.385369637069612,23.771313389284003,0.0650725339228789,0.10498069460087807,55.7324,16.638067245194016,1,R
43,-43.7234,0.1536321896025274,6.580159154312768,8.939779466972114,0.10108626508790826,0.24470005487641378,91.7234,18.41657905377476,1,R
44,-37.7205,0.10561865174320671,5.745682173585582,19.858827859881476,0.0773715042996484,0.1635415681861068,79.7205,19.570678110225813,2,R
45,-37.7205,0.13944625644671638,7.32773083255192,18.046364416208842,0.0748407764815493,0.2017498920142739,79.7205,21.397846546130335,2,R
46,-43.7234,0.10949093008410389,5.0494208712453315,15.818097652536949,0.08997443657629721,0.16713454549502738,91.7234,22.169111120415828,2,R
47,-50.2589,0.17314248414717248,7.315150601422095,16.469712970236095,0.09765009362722087,0.26278553373217717,104.2589,23.287483649025845,2,R
48,-55.7192,0.13743204570004133,4.375050269423339,9.343699676464757,0.14229849152976828,0.22902814829129378,115.7192,24.66186043429819,2,R
