,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,side,alpha,label,condition,condition-side,uniq-condition
p06.rsml,0.1451032500000053,0.5975757500000007,0.6818292499999998,1.0718917499999918,1.3121702499999923,1.6304612499999935,3.7087142499999945,5.375061249999994,6.172348999999985,7.415868249999989,11.327414999999982,14.933152749999982,24.573937499999992,30.54813474999999,37.85790599999999,42.38887200000001,51.22612800000001,56.918700125,65.13029587500006,73.410542625,84.38846162500006,102.47487962500004,115.893029625,128.914876125,142.6637991250001,159.87024548650007,173.33934950690008,187.25262362500007,210.290495,231.628474,255.5759711250001,279.7294212500003,L,5,2,HL,HL-L,hetero-high
p06.rsml,0.4860178749999924,1.067210999999998,0.9829574999999956,1.0609699999999949,1.1288408750000087,1.1725278750000172,1.1694073750000058,1.2567813750000063,1.4057852500000003,1.49940025,1.49940025,2.206193500000004,2.471436000000001,2.133641875000005,2.8849022500000023,2.995679999999996,3.295248000000003,3.2991486249999977,3.377941250000001,3.9926797500000015,4.541107625000008,5.811931250000004,7.22005687500002,7.552390125000024,8.873141750000013,12.541289500000032,23.24148400000002,27.057855500000013,29.34596212500001,35.942699125000026,37.077781,38.19726037500001,R,5,2,HL,HL-R,hetero-low
p09.rsml,0.0,0.0,0.0,0.0468074999999998,0.1404224999999961,0.4041047499999806,0.552328499999982,0.552328499999982,0.80274862499998,0.80274862499998,0.80274862499998,0.80274862499998,0.80274862499998,0.8425349999999803,0.8425349999999803,0.8425349999999803,0.8425349999999803,1.2068533749999837,1.348836124999975,1.8091098749999792,2.442571374999977,3.338154874999992,4.311750875000008,4.589475374999999,7.0507697499999775,9.074413999999996,10.69161312499997,13.058512375000008,17.96081787500003,21.96988024999999,26.320637375000015,29.04873450000005,L,5,1,LH,LH-L,hetero-low
p09.rsml,0.9080655000000036,1.394863500000004,2.1905910000000075,2.1905910000000075,3.606517875000004,9.975458375000017,10.947494125000029,12.359520374999992,13.578075625000007,21.706198,24.92655399999999,28.44179725,34.74442712499997,49.41545787499995,54.32556493705003,63.19610637439998,72.5118386249999,91.90106537499994,100.36801242012493,110.6833349038,129.03969612499992,143.32066437499998,159.65726199999992,184.692253375,221.24813075000003,246.94640156274997,263.7883470000002,300.7397477500001,330.0623061250003,361.93821362500006,392.60180687500025,415.6045726250003,R,5,1,LH,LH-R,hetero-high
p10.rsml,0.5804129999999903,1.4104659999999911,2.889582999999984,3.106457749999988,4.0543096249999815,5.148824999999976,5.894624499999984,7.220836999999987,7.679550499999985,7.982238999999989,9.235119749999988,14.915989999999994,17.29381099999999,23.4505575,26.692757000000007,32.468802499999995,40.72876600000004,45.96496499999999,50.49125025000004,57.03961949999997,62.97012975000001,78.942920918025,87.91593458257502,94.98645975,105.25837748289996,113.12077758102508,125.42345102739996,136.37278983597503,152.25247620574996,168.3680472555,185.27803675550007,200.85089200550004,L,5,3,HH,HH-L,homo-high
p10.rsml,2.298248250000001,2.5634907500000006,3.262482750000001,5.038047250000004,5.147264750000001,5.741720000000011,6.128662000000007,6.128662000000007,7.174029500000005,8.3161325,8.77900188190001,10.394364904700025,10.968562492800014,11.712806423549994,13.558572500000036,15.231160500000032,16.401347999999995,19.273768250000053,23.32261700000007,31.674635250000005,34.70464075000005,40.40891475000004,45.234768000000045,49.896795000000026,59.34722925000008,71.36271449999998,78.41036468615002,88.11980137230002,102.65352825000002,109.69181600000005,126.18989950000002,136.96108537500007,R,5,3,HH,HH-R,homo-high
p11.rsml,0.3448152499999981,0.8269325000000052,1.323092000000003,1.4198275000000018,1.875420499999995,2.654765374999992,2.935610374999988,3.33503437499998,3.5300656249999776,4.215015374999994,7.172469249999986,7.349557625000005,7.753662375000007,9.926310500000014,11.033307874999998,12.071654250000003,13.317513874999994,19.426672750000016,25.378246375000003,24.089479875000013,26.163052125000025,32.130228250000044,33.588281875000035,35.67355600000003,37.27359237500004,40.30203762499998,43.38899224999999,48.702423625,54.41995975,56.20800624999999,60.410539625,69.10659299999998,L,5,0,LL,LL-L,homo-low
p11.rsml,0.0,0.0,0.0538286249999995,0.4727557499999921,0.9345897500000024,1.5493282500000074,1.8317335000000128,3.610418499999981,4.5138032500000245,10.415448875,13.38070399999996,13.831616249999946,13.947074749999954,14.191253874999957,14.294230374999948,14.397206874999952,14.426071499999953,10.019145374999994,10.760264125000004,11.31025225000001,12.07243437499997,12.730859875000007,13.930692125000014,14.681172374999974,15.44647499999999,18.40782949999999,19.392347249999982,20.090559124999967,22.201577375,24.873505499999997,26.91431250000002,28.815477124999973,R,5,0,LL,LL-R,homo-low
p12.rsml,1.7942875000000056,1.7942875000000056,1.7942875000000056,1.8496763749999992,2.007261625000002,2.1383226250000043,4.1151593749999975,6.820108474974975,7.957538838275009,9.07987487500001,13.286308875000003,17.42721237500001,20.369843874999983,24.179974375000008,28.205419375000005,33.413533874999985,41.467544374999946,44.71988549999999,49.06569351200002,61.05726325000002,67.84669112499998,75.73999587499992,90.17620899999994,99.2615447499999,110.26598331924995,126.45281129854996,143.0858467500001,159.002737125,176.5110825,197.3162361249999,216.07902249999992,243.17588424999985,L,5,2,HL,HL-L,hetero-high
p12.rsml,1.3901827499999904,1.479897124999992,1.5625903749999903,1.662446374999993,1.662446374999993,1.7279768749999942,1.7279768749999942,1.7279768749999942,1.7279768749999942,1.7279768749999942,1.7279768749999942,1.7279768749999942,1.823152124999995,1.9027248749999952,1.9027248749999952,2.108677874999989,2.2093139999999902,2.2093139999999902,2.2093139999999902,2.315410999999989,2.315410999999989,2.384061999999995,2.384061999999995,2.384061999999995,2.384061999999995,2.5081018749999924,2.838874874999993,2.9824178749999923,3.094755874999997,3.094755874999997,3.094755874999997,3.094755874999997,R,5,2,HL,HL-R,hetero-low
p13.rsml,0.8635983750000022,1.127280625000001,1.6031568749999874,1.8075496249999912,2.3871824999999944,2.441011125,4.294588125000017,5.398465000000031,6.28780750000001,7.823093499999996,9.656387250000014,10.733739875000015,11.770525999999998,13.81991437499998,14.75060349999998,15.891926374999985,17.456857124999985,20.88472637500001,23.310915124999983,27.560256,30.928055624999967,36.17439625,41.61030725000002,46.69360175000002,57.54514049999997,71.352572875,77.59903375000005,88.844535625,102.70813700000006,112.72104137500013,124.0344141249999,135.975007375,L,5,3,HH,HH-L,homo-high
p13.rsml,0.0,0.4119059999999983,1.656985499999979,1.656985499999979,8.762363999999998,9.06973325000001,11.019265625,11.49670212500001,12.28618862500001,11.35627962500002,12.692633750000024,14.46819825000003,16.150147750000034,20.508442754800026,26.1625253846,30.33672087500003,36.036314125,47.04777850000001,48.71100500000005,55.74071137500002,77.72775843165003,82.27589123829996,82.68622887500003,100.6041398750001,114.80319499999987,121.464682375,148.81196424999982,161.03652299999996,181.89238474999976,202.85123267355004,224.3348444723999,248.2264135,R,5,3,HH,HH-R,homo-high
