,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p09.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p11.rsml,0.0,0.07899999999999885,0.15799999999999947,0.21386143571373467,0.21386143571373467,0.39051080593621945,0.4300108059362233,0.5183354910474657,0.5973354910474663,0.5973354910474663,0.5973354910474663,0.5973354910474663,0.6856601761587071,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7415216118724474,0.7973830475861876,0.7973830475861876,0.7973830475861876,0.7973830475861876,0.7973830475861876,0.7973830475861876,0.7973830475861876,0,LL,L,LL-L,homo-low
p12.rsml,0.05586143571374021,0.05586143571374021,0.05586143571374021,0.1441861208249826,0.2000475565387228,0.2559089922524605,0.5434733328790398,0.808447388212767,1.2034473882127665,1.5219065692705587,2.47319254099515,3.155068262809616,3.830044558689703,4.884036019755683,5.604360704866922,6.324685389978168,7.035685389978166,8.081503371273193,8.3404185165158,9.233556528641936,9.79217088577931,10.503170885779308,11.375754406137105,12.091129832049958,12.812619461495977,13.5642012861426,14.332397586739006,15.100607326345981,15.841036928839117,15.920036928839117,15.920036928839117,15.920036928839117,2,HL,L,HL-L,hetero-high
p13.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p15.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p16.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p18.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p21.rsml,0.0,9.722385059308802,11.582544095038296,12.868011062732197,14.390157186850578,15.867823214813658,17.934628581117103,19.516726580284146,21.46506406030635,23.780210546419045,26.05088324696374,27.940861509530574,29.519746732607757,30.53819549637402,31.844059222751724,32.96688947321443,33.85253703169421,34.41386777278374,35.20311060865404,35.7523137502039,36.163048402891796,36.63668168815443,36.76450637326568,37.25450109424206,37.571281805336625,37.87170108071746,38.111248637256175,38.506248637256164,38.742881476260294,38.90574414847219,39.07332845561341,39.07332845561341,1,LH,L,LH-L,hetero-low
p23.rsml,0.0,0.5680819736397242,0.9603211841738486,1.3254054913150628,1.592734734272537,1.9565732850341937,2.50677544285605,2.786082621424729,3.177112671420894,3.853259565435117,4.513419444984915,4.8875688152074,5.124201654211526,5.795853100114236,6.476544992874782,6.836907665086684,7.4170378813369915,7.82016967349567,8.330085806480897,8.638870649573235,8.750593521000708,8.9638281736886,9.088738141265253,9.265387511487738,9.432971818628946,9.827971818628953,9.827971818628953,9.88383325434269,9.88383325434269,9.972157939453936,9.972157939453936,9.972157939453936,0,LL,L,LL-L,homo-low
p24.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p25.rsml,0.0,1.4459056169095135,1.7334699575360928,1.9101193277585775,2.0729819999704757,2.296427742825424,2.6049326050237367,2.7629326050237344,3.365873937161449,3.567285207948365,3.623146643662105,3.6790080793758455,3.6790080793758455,3.6790080793758455,4.053737982105797,4.196157257486625,4.426479857333011,4.589342529544911,4.7569268366861195,4.83592683668612,4.87542683668612,4.954426836686121,5.066149708113596,5.105649708113597,5.23055967569025,5.318884360801491,5.358384360801491,5.397884360801488,5.397884360801488,5.453745796515228,5.565468667942703,5.565468667942703,3,HH,L,HH-L,homo-high
p26.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p27.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,LH,L,LH-L,hetero-low
p28.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,HH,L,HH-L,homo-high
p29.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
