,root_idx,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,side,label,condition,condition-side,uniq-condition
0,p06.rsml,15.464766800120517,16.348013651232932,18.035260871537112,19.30172721534574,21.130238004185653,22.920994917062895,24.830307987596026,26.855089506802063,29.25749129373125,31.881772124865684,34.45384608376623,36.52972175485052,39.11352112781724,42.06774059223977,44.51022914717881,47.391951786084725,50.151303159143254,53.17543184039641,56.389558724074526,58.83983258631931,61.37028669534644,64.10635357890006,67.249351473874,69.540351473874,73.26256543835406,76.45430402418238,79.7296834405621,82.6879333856432,86.35872840695669,87.38572840695669,87.42522840695669,87.4647284069567,L,2,HL,HL-L,hetero-high
1,p06.rsml,11.632909229836478,12.659909229836478,13.560647815664797,14.082486366426453,14.786470349174964,15.84046181024094,16.914977980431043,17.467977980431044,18.676445605152534,20.215905410612443,21.691747204301727,22.718747204301728,24.61639232391709,26.115311934836896,27.616311934836894,29.354311934836893,30.580721735841436,31.25569803172152,31.785646142388973,32.42256450450456,33.70863389719081,34.85889125969713,35.95639433486367,36.94626149766886,38.377012349494564,39.7407637931235,41.047740089003575,42.64986877025674,44.41297663425557,45.621444258977064,47.42638248506681,48.790133928695745,R,2,HL,HL-R,hetero-low
2,p09.rsml,7.636178681074039,8.54467868107404,9.936177962424914,10.730118136493463,11.784391366914884,13.118007510941458,14.504385678516952,15.674146017218858,17.219196987251888,18.562777744035785,19.926529187664723,21.421801152893792,23.157105881176403,24.642561127147655,26.30062038423107,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,27.299900124844278,L,1,LH,LH-L,hetero-low
3,p09.rsml,14.838354653808087,16.156330495776366,17.597945215457045,18.651936676523025,20.32518352763544,22.319511903992876,24.32015177429948,26.017611579759386,28.689073037015177,31.060389338144155,33.46078666670132,35.6507354847228,38.120618148998226,41.61011402688704,44.03808626870586,45.83655217852387,49.087276397814875,52.31350440022723,55.60026418636833,57.9735530006354,60.98365888145856,64.5113428242176,67.15198474363922,69.93224775956348,73.27456919462493,76.92743905584919,80.16172500151905,83.14859538602853,86.87995712677936,90.6516352214643,90.70749665717804,90.76335809289178,R,1,LH,LH-R,hetero-high
4,p10.rsml,17.580721161254605,18.811263967835384,20.4871070392475,22.015098500313478,23.272436694172274,25.81664417506515,27.50306507923414,29.087983441349724,31.626722987422834,34.030539082895956,36.124803826890755,37.862803826890755,40.425406585606886,42.739347146727994,44.95237180053767,46.98132173194217,49.74987143495377,51.86629563991662,54.39422057781305,56.643309452106465,59.02428202045116,62.226182248761255,64.76700218391457,66.82252085325328,69.76721308257873,71.96565882543369,75.25583684917224,77.20401040944729,80.41152657963738,86.31725476882944,86.31725476882944,86.31725476882944,L,3,HH,HH-L,homo-high
5,p10.rsml,10.042555493613829,10.867339707817766,12.153468389070927,13.138767129515895,14.551962091295763,16.31504774316598,18.192903782693225,19.774877549858793,21.873959730241445,24.16495973024145,25.921251880967944,27.61494851956098,30.433467878283924,32.76549908233996,34.81842935203212,36.88100377614023,39.58264885928789,42.19385174527508,44.71776462606589,46.96612664514316,49.738425001364725,52.39245383400889,55.23853134365369,57.6874883746886,60.58011509680758,63.673923179587426,66.71670123106306,68.93433690898674,71.53220136361811,73.9274130974738,75.04044431895863,75.81850408530053,R,3,HH,HH-R,homo-high
6,p11.rsml,13.766037761556912,14.620553413841877,15.418375955415707,16.088713183980552,16.423881798262975,16.849309818026605,17.500760506874194,17.737760506874196,17.974760506874194,18.211760506874196,18.68904082283118,18.968348001399868,19.363348001399867,19.93847668265303,20.575395044768616,21.105343155436064,21.68047183668922,22.391471836689224,23.11981584881536,23.61945571912197,24.093455719121966,24.804455719121965,25.515455719121963,26.068455719121967,26.30545571912197,26.708278260695796,27.34519662281138,27.670921967235177,28.170561837541783,28.496287181965574,28.921715201729203,29.206553752490855,L,0,LL,LL-L,homo-low
7,p11.rsml,5.882314120560913,6.666366733591444,7.4996201464257375,8.330060090070068,8.91726980558915,9.377915005281931,9.63083841266053,9.970630260708713,10.47647707546591,11.101026913349164,11.996553853200774,12.61482664897947,13.313652986491157,13.90086270201024,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,14.351231994924397,R,0,LL,LL-R,homo-low
8,p12.rsml,15.068682211938683,16.122673673004662,17.46799519591285,18.494995195912846,20.31760955305022,22.122547779139968,24.136660487009117,26.0513098572316,28.38398402358942,30.747382300913348,33.157147132003594,35.36467529764099,38.0359664561519,40.806311092854564,43.54758739731392,45.82315468356349,48.45118474091618,51.510735488833845,54.099544052026594,56.52696730560215,59.62278868590688,62.43210992519008,65.34379527298518,67.78221470402333,71.17527470845987,74.40833855722839,77.59373829400538,80.34175758069169,83.45147044826055,86.78437741743298,86.78437741743298,86.78437741743298,L,2,HL,HL-L,hetero-high
9,p12.rsml,16.53888850801313,17.337726570451316,18.11578633679321,18.74778633679321,19.581039749627504,20.414293162461803,21.40258284671435,21.99639805366008,22.94522061346776,24.608447371910515,25.76006037114246,26.74835005539501,27.63159690650743,28.422583790090208,28.937600780101217,29.963080423975242,30.83297768802428,31.956473237637184,33.00229121893221,33.872188482981244,34.509106845096824,35.617924684058664,36.40792468405866,37.36330222723204,38.31867977040542,39.47029276963736,39.917184255347266,40.71602231778545,41.61263227512633,42.68569541399561,43.64677189378273,44.357771893782726,R,2,HL,HL-R,hetero-low
