,hit_hour,side
p06.rsml,168.0,L
p06.rsml,,R
p09.rsml,,L
p09.rsml,174.0,R
p10.rsml,174.0,L
p10.rsml,,R
p11.rsml,,L
p11.rsml,,R
p12.rsml,174.0,L
p12.rsml,,R
p13.rsml,186.0,L
p13.rsml,180.0,R
p15.rsml,,L
p15.rsml,,R
p16.rsml,,L
p16.rsml,,R
p17.rsml,,L
p17.rsml,,R
p18.rsml,162.0,L
p18.rsml,,R
p21.rsml,,L
p21.rsml,156.0,R
p23.rsml,,L
p23.rsml,,R
p24.rsml,168.0,L
p24.rsml,,R
p25.rsml,150.0,L
p25.rsml,162.0,R
p26.rsml,,L
p26.rsml,,R
p27.rsml,,L
p27.rsml,144.0,R
p28.rsml,,L
p28.rsml,,R
p29.rsml,,L
p29.rsml,,R
p31.rsml,174.0,L
p31.rsml,,R
p32.rsml,,L
p32.rsml,,R
p33.rsml,,L
p33.rsml,138.0,R
p34.rsml,162.0,L
p34.rsml,174.0,R
p37.rsml,,L
p37.rsml,,R
p39.rsml,,L
p39.rsml,138.0,R
p44.rsml,,L
p44.rsml,,R
p45.rsml,,L
p45.rsml,,R
p46.rsml,168.0,L
p46.rsml,180.0,R
p47.rsml,,L
p47.rsml,,R
p48.rsml,,L
p48.rsml,150.0,R
p49.rsml,,L
p49.rsml,,R
p50.rsml,,L
p50.rsml,,R
p51.rsml,168.0,L
p51.rsml,,R
