,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition,genotype
0,0.0,0.1078375577021201,10.44048348605965,28.43745321553605,0.0495142816234356,0.1901763953249246,0.0,3.175537330604156,0,L,LL,col-0
1,0.0,0.1111070900240078,10.647405195641442,33.415662536380985,0.0467251686647005,0.1830206854930055,0.0,4.822802202875741,0,L,LL,col-0
2,-1.0526999999999995,0.1065786361916035,9.52480806864135,30.986231869091565,0.0496726060715209,0.1740518713501728,7.0527,6.734194852368431,1,L,LL,col-0
3,-7.0503,0.1380165008772952,11.10816066953216,26.08535169570905,0.0589661938002049,0.2409632246170591,19.0503,9.845754657828335,1,L,LL,col-0
4,-1.0526999999999995,0.1491776008875706,13.556110770321498,34.22019603502105,0.0510686575159038,0.2546801332110787,7.0527,10.572554657828336,1,L,LL,col-0
5,-7.0503,0.164092496071981,13.368000410099924,32.181437514640585,0.050336181947987,0.2475439058153177,19.0503,12.35257890394336,1,L,LL,col-0
6,-13.0504,0.2110361600129692,13.91069820745365,28.483689182234222,0.0581454984153395,0.2975572555095532,31.0504,15.211921974885968,1,L,LL,col-0
7,-13.0504,0.161638865884024,15.379871222358318,38.21507863250316,0.0392299137793616,0.221960436800195,31.0504,16.630026150732416,1,L,LL,col-0
8,-13.0504,0.1613454386893059,13.724728640595538,33.179093805467,0.0454209630714111,0.2293325093163793,31.0504,18.161881644244804,1,L,LL,col-0
9,-13.0504,0.1389638179125318,11.099865490942353,31.56739863689884,0.0548968322586089,0.2241664008381408,31.0504,19.773541131791426,1,L,LL,col-0
10,-13.0504,0.1557242242120578,14.393068115177837,39.12175067114653,0.0431941378948658,0.2287092391923243,31.0504,20.59565363487925,1,L,LL,col-0
11,-19.0496,0.1359143219467384,9.733823546598083,23.978920936291143,0.0594637123505757,0.2129320357390199,43.0496,22.72071295173316,1,L,LL,col-0
12,-19.0496,0.1050080295652975,7.544709408556574,23.353182413700868,0.058093236646628,0.1612403042659421,43.0496,23.86937011453836,1,L,LL,col-0
13,-19.0496,0.1376938106400998,9.44109630303196,27.23038002530618,0.0588436534631197,0.2043749082053371,43.0496,25.11229715194833,1,L,LL,col-0
14,-19.0496,0.1543849826525434,13.115818741239902,36.42361141478013,0.0459141738953365,0.2215377287815598,43.0496,27.46026064141208,1,L,LL,col-0
15,-37.0489,0.0422549282430197,2.68742605149098,24.59705097090397,0.0569459705084315,0.0562995650670081,79.0489,30.32387241290375,2,L,LL,col-0
16,-49.0504,0.0645472733381711,3.082659458944569,18.93679140109461,0.0778397444904209,0.0882739317619802,103.0504,31.551776621652515,2,L,LL,col-0
17,-43.0497,0.0693850087538989,3.213557406273316,18.395439786156544,0.0935520982725281,0.1105974498775638,91.0497,33.8824815217311,2,L,LL,col-0
18,-43.0497,0.0542688491398236,2.33453216262548,11.96509814017292,0.1053832156875771,0.0905058864198096,91.0497,34.854236763086675,2,L,LL,col-0
19,-49.0504,0.0794282345182827,3.381171026191766,16.648990181602652,0.0918940712816623,0.1143036634551224,103.0504,36.31921688993798,2,L,LL,col-0
20,-49.0504,0.057034432481337,3.1492037303767333,23.92232348737652,0.0721737319412947,0.0836152394078958,103.0504,38.632812940049234,2,L,LL,col-0
21,-55.0501,0.0693210255352558,2.339932517784781,14.254423956127278,0.1297350105331988,0.1116775923171561,115.0501,41.63178563744483,2,L,LL,col-0
22,-61.0474,0.0605165553565485,1.5125805441149112,10.231220760814882,0.2162408384855143,0.1203266275453497,127.0474,42.97472102689408,2,L,LL,col-0
23,-55.0501,0.0698117684251512,2.392038951088173,15.280846966275435,0.1409509987716563,0.1240343351181193,115.0501,44.54359021965682,2,L,LL,col-0
24,-61.0474,0.0780926311246876,2.1156858416948903,11.427000092755796,0.1681287408933005,0.1308575118907336,127.0474,47.69699474127652,2,L,LL,col-0
25,-61.0474,0.0684081820203689,1.87719573924528,12.086205074739894,0.167572609601038,0.1157225808832355,127.0474,49.59579448638203,2,L,LL,col-0
26,,,,,,,139.0488,51.014547157782935,2,L,LL,col-0
27,,,,,,,139.0488,55.57586356203623,2,L,LL,col-0
28,-25.0502,0.2337275067923812,16.920048382275695,26.350164314018222,0.0494610611151169,0.3078722516351042,55.0502,0.9346381124799044,0,R,LL,col-0
29,0.0,0.1316198911421916,15.767821830793157,45.52136244133103,0.0279449866092261,0.1620992957039949,0.0,2.7795318449550965,0,R,LL,col-0
30,-1.0526999999999995,0.1316460940408917,12.262292643016526,31.62689977010784,0.0435809123848086,0.1965954728156837,7.0527,4.717135403590701,0,R,LL,col-0
31,-1.0526999999999995,0.1026189900326851,8.974489816389227,25.961402039715264,0.0595971909131614,0.1967619315024347,7.0527,5.220409323260974,0,R,LL,col-0
32,-7.0503,0.1900661277786112,16.82388346269264,32.48897591179708,0.0387450421259589,0.2397992977254205,19.0503,6.193636081145195,0,R,LL,col-0
33,-1.0526999999999995,0.2153556682617845,21.174507903767548,42.69974193022867,0.0359698638239902,0.2801932301001655,7.0527,8.040522762603496,0,R,LL,col-0
34,-13.0504,0.213935367248863,15.086138976153045,31.10520855528267,0.0495563699122046,0.2750319248806441,31.0504,11.435772150609289,0,R,LL,col-0
35,-25.0502,0.0589095680509916,3.579703383231649,14.587514516473906,0.082633012591128,0.1088193548005911,55.0502,13.359925885856136,0,R,LL,col-0
36,,,,,,,151.049,13.940109941189862,0,R,LL,col-0
37,-13.0504,0.1442529529023996,13.094148078190084,35.237399297850004,0.0401727183542183,0.1935147111408079,31.0504,14.716874510163205,0,R,LL,col-0
38,-37.0489,0.0437767204023922,2.133314148879303,11.37947674920916,0.0906076267920159,0.0711090844989236,79.0489,15.927450260278214,0,R,LL,col-0
39,-19.0496,0.128835665836437,8.866721063979192,22.729569504839706,0.055238489682688,0.1801815672253303,43.0496,16.776387177060883,0,R,LL,col-0
40,-19.0496,0.1323120561671812,11.030003878891876,31.76191439627191,0.0401258358641538,0.1628190721770347,43.0496,18.716564014281627,0,R,LL,col-0
41,-19.0496,0.0914488376351539,6.852121768803119,29.625850968089203,0.0490874885002852,0.1237375186808172,43.0496,19.75600615298471,0,R,LL,col-0
42,-19.0496,0.0938532903809409,6.464487430517453,26.01201173863063,0.0566408305132668,0.1347005056921011,43.0496,19.79708615298471,0,R,LL,col-0
43,-13.0504,0.0936580750948106,7.408195814571329,30.14310474275544,0.0574093031429989,0.1564588906156641,31.0504,20.609955171681104,0,R,LL,col-0
44,-19.0496,0.1328664842413374,10.309822749644422,29.437466282639548,0.0493814083324029,0.1872924145335946,43.0496,21.918441922105487,0,R,LL,col-0
45,-19.0496,0.1172494066953886,9.449018076590976,31.338399812816657,0.0487512363691156,0.1694641478617651,43.0496,24.43061612471676,0,R,LL,col-0
