,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,label,condition,side,condition-side,uniq-condition
p39.rsml,1.0,1.0,3.0,4.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1,LH,R,LH-R,hetero-high
p44.rsml,0.0,2.0,3.0,6.0,8.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2,HL,R,HL-R,hetero-low
p46.rsml,0.0,0.0,1.0,3.0,4.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,LH,R,LH-R,hetero-high
p67.rsml,3.0,5.0,5.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,3,HH,R,HH-R,homo-high
p68.rsml,1.0,2.0,4.0,4.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2,HL,R,HL-R,hetero-low
p69.rsml,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,HH,R,HH-R,homo-high
p70.rsml,1.0,1.0,2.0,2.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,LH,R,LH-R,hetero-high
p71.rsml,1.0,2.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,3,HH,R,HH-R,homo-high
p72.rsml,4.0,4.0,5.0,6.0,7.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,HL,R,HL-R,hetero-low
p74.rsml,3.0,5.0,7.0,11.0,11.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1,LH,R,LH-R,hetero-high
p75.rsml,1.0,2.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3,HH,R,HH-R,homo-high
