,hit_hour,side
p05.rsml,152.0,L
p05.rsml,,R
p07.rsml,,L
p07.rsml,152.0,R
p08.rsml,152.0,L
p08.rsml,164.0,R
p09.rsml,,L
p09.rsml,,R
p10.rsml,168.0,L
p10.rsml,164.0,R
p11.rsml,,L
p11.rsml,168.0,R
p12.rsml,,L
p12.rsml,,R
p13.rsml,152.0,L
p13.rsml,,R
p34.rsml,164.0,L
p34.rsml,164.0,R
p35.rsml,,L
p35.rsml,152.0,R
p37.rsml,152.0,L
p37.rsml,,R
p38.rsml,,L
p38.rsml,,R
p39.rsml,,L
p39.rsml,152.0,R
p44.rsml,,L
p44.rsml,,R
p46.rsml,,L
p46.rsml,,R
p67.rsml,164.0,L
p67.rsml,,R
p68.rsml,152.0,L
p68.rsml,,R
p69.rsml,,L
p69.rsml,,R
p70.rsml,,L
p70.rsml,,R
p71.rsml,164.0,L
p71.rsml,,R
p72.rsml,168.0,L
p72.rsml,,R
p74.rsml,,L
p74.rsml,152.0,R
p75.rsml,,L
p75.rsml,,R
