,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side
0,-13.0491,0.2490668099974478,27.653474285805885,43.98130190338358,0.030680000835593756,0.31211208687531333,31.0491,3.5879635958786222,1,L
1,-13.0491,0.2497592945837955,24.744506405014413,41.237574281512515,0.03922047870549267,0.3570238289404864,31.0491,5.668505184857778,1,L
2,-13.0491,0.34080955130842167,44.0219891418506,53.70719751002708,0.029794345526265916,0.48251301300474564,31.0491,7.085770082390624,1,L
3,-19.0486,0.36489502851166294,45.22610358792616,49.89423683164415,0.027795771627692742,0.462459202640147,43.0486,8.578625482905055,1,L
4,-19.0486,0.17141922585708944,10.29063133792069,13.807714308884686,0.12054062282837817,0.456332046877337,43.0486,10.301578353010557,1,L
5,-19.0486,0.24592446172790972,23.744470534962492,37.46888715283218,0.03370268857606571,0.2943964409669254,43.0486,11.025640666322099,1,L
6,-25.0471,0.299820031483951,22.715147495369266,28.82384744426754,0.044584155090123034,0.3725646282242443,55.0471,12.08902292402626,1,L
7,-19.0486,0.2645366223428068,21.48892671634377,32.84610607098406,0.04764994500658048,0.37668874712107353,43.0486,13.08037373228527,1,L
8,-25.0471,0.24940857248295734,17.70355549500663,28.19620871904796,0.05739481043812121,0.3737994350249815,55.0471,13.840694993221064,1,L
9,-31.0574,0.2878983783857664,20.182094673210855,26.029314723041168,0.04901347776493523,0.3639043745055671,67.0574,14.336824868945172,2,L
10,-31.0574,0.3271514677121985,24.44504830802555,28.951277410930906,0.04623188684989736,0.4157555318896322,67.0574,15.17269265585887,2,L
11,-31.0574,0.17915543629635647,11.838652124057166,26.059671608804113,0.059088466446824056,0.2573418957093667,67.0574,15.910780917870696,2,L
12,-37.052899999999994,0.15035752726849258,8.3509550545593,21.74916670935987,0.06817130580008685,0.2094321143550698,79.0529,16.573176014470903,2,L
13,-50.366,0.25381942856477174,11.775743137413807,18.227134227920384,0.07856798563960536,0.3403607411231859,104.366,18.695450707646998,2,L
14,-55.052400000000006,0.27093072137207513,13.081079807324192,19.60322711985737,0.07178385273568462,0.345442586814116,115.0524,22.156153809212395,2,L
15,-55.052400000000006,0.21445079936717845,11.99674191084599,22.492827275219845,0.062916642745834,0.2776734616022333,115.0524,23.312375785530257,2,L
16,-50.366,0.14514631552834978,6.2102889981715705,21.57008801403949,0.12981553786774538,0.2965814648692269,104.366,24.819235506966557,2,L
17,-55.052400000000006,0.1841544129928972,6.538553582086442,15.564936639565294,0.12678586813573553,0.3049706559407046,115.0524,26.091913239767496,2,L
18,-55.052400000000006,0.16755121905651243,6.474739119493333,18.32830252659302,0.11628788889374175,0.2769888447403672,115.0524,29.105691200926003,2,L
19,-55.052400000000006,0.15110236397363502,5.181460738753382,17.34140624922201,0.15767788605665278,0.30055815678071995,115.0524,31.69852550449135,2,L
20,-61.058400000000006,0.1162166984811035,3.83627300591576,14.767055249375929,0.1254817411275297,0.17709062069393308,127.0584,33.48545176059325,2,L
21,-61.058400000000006,0.1014247196547254,4.396388892889689,18.35715174584345,0.09618896281008545,0.15557036186956597,127.0584,35.46423002877807,2,L
22,,,,,,,139.0648,36.560410754388585,2,L
23,,,,,,,139.0648,37.57152416570111,2,L
24,,,,,,,139.0648,39.30106753101768,2,L
25,,,,,,,139.0648,41.99585610964281,2,L
26,,,,,,,139.0648,42.82771171639942,2,L
27,,,,,,,151.0575,43.72524350747983,2,L
28,,,,,,,151.0575,46.01622529801921,2,L
29,,,,,,,151.0575,48.6137970990772,2,L
30,,,,,,,151.0575,51.24585586117283,2,L
31,-13.0491,0.08442116474869826,8.396422457934802,37.81822783942496,0.034031321478269864,0.10511836886881107,31.0491,1.361585800541011,1,R
32,-7.0518,0.060922427459726654,5.116965104984928,23.251638811552986,0.04274120802130271,0.08045717250513673,19.0518,2.2159497227249716,1,R
33,-31.0574,0.13135704893283265,7.993071130510937,21.995653882493723,0.06150157406657804,0.18084455077684802,67.0574,4.8010306240292175,1,R
34,-7.0518,0.10519665352305231,12.86882398191919,50.15694184360747,0.029526454779431065,0.13978342693847715,19.0518,6.322593607469747,1,R
35,-19.0486,0.07286598354526523,5.482870160822267,26.416371744234038,0.042708385652871654,0.08614431765736531,43.0486,7.430885905919972,1,R
36,-13.0491,0.08445528762512805,6.865858732436256,27.190493232243874,0.042728497487871525,0.10792399247552979,31.0491,8.499755905919972,1,R
37,-13.0491,0.10719048845708991,10.329443782434128,37.2900933009766,0.03638954423140014,0.13827990441290294,31.0491,9.277115905919974,1,R
38,-19.0486,0.10048603633255516,7.785350637514007,23.051764242021555,0.04040321577366813,0.11571765605314693,43.0486,11.153391945447227,1,R
39,-19.0486,0.11552741556672484,9.427887138061195,26.005314806222607,0.037733772837435293,0.13087301981717198,43.0486,12.65628583500739,1,R
40,-37.052899999999994,0.08330620632186285,5.0726014172898655,22.747524105203276,0.05651125369487088,0.10545597685429553,79.0529,13.646873194833931,1,R
41,-19.0486,0.15844120969963205,13.205203632847565,30.587119634528012,0.04056587802476509,0.19706590915407357,43.0486,14.880924252327098,1,R
42,-25.0471,0.08746383578103178,6.286803013624185,27.603534589771225,0.04872355351419524,0.11268713194509623,55.0471,16.99808608106555,1,R
43,-19.0486,0.1589805030693194,12.295521198331283,32.3777582938226,0.04795361606529359,0.21690712739734605,43.0486,17.58498520575503,1,R
44,-31.0574,0.1806863852144519,12.333026001311932,24.443826532284437,0.05031401126220913,0.2282780257111503,67.0574,18.9475809018409,2,R
45,-43.052499999999995,0.15412131208611635,7.688767151281321,16.0846300599032,0.06695541757256526,0.18938603416412467,91.0525,21.16816360905071,2,R
46,-61.058400000000006,0.06523650000422503,1.7316111843768769,9.348300186700545,0.14732973597875842,0.09385260054390059,127.0584,24.502885735694417,2,R
47,,,,,,,139.0648,26.613563677986242,2,R
