,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side
0,-19.0484,0.09310130960435732,9.070161040061594,37.844918607993364,0.03402372788029827,0.11352784977136829,43.0484,4.707269250037954,1,L
1,-19.0484,0.13560787574227767,11.485135555452336,31.050111439802293,0.03916103753328107,0.1654610717156057,43.0484,4.9745462269738665,1,L
2,-13.0489,0.10829209597313622,11.943057623979701,44.798737996541796,0.03359245202497346,0.14759197742658797,31.0489,6.023358153597099,1,L
3,-13.0489,0.08098326318065749,8.19413227233031,43.8494150720793,0.04067633326233636,0.12261688674640492,31.0489,7.938813532337706,1,L
4,-7.051300000000001,0.05295952085390052,4.14445417322685,32.77151668610972,0.05231777698890226,0.07976679493109244,19.0513,10.047343755008818,1,L
5,-25.047400000000003,0.07545589553424543,5.272204066745611,25.015577476505527,0.05659681317809143,0.10977152754301722,55.0474,10.700801075769288,1,L
6,-19.0484,0.08779415479991019,8.980082412470326,42.95108594279769,0.03648364796828039,0.12052693066356553,43.0484,12.769734507854537,1,L
7,-25.047400000000003,0.07795335879376669,5.897955330323249,30.594544718636087,0.04974401153199286,0.10793139802324908,55.0474,14.714809679373793,1,L
8,-31.0561,0.07408876611915384,5.4619451476615435,31.11868826959882,0.052682254055418355,0.10585641962996344,67.0561,18.018872451643205,1,L
9,-25.047400000000003,0.12581908945342715,12.472701766756646,40.23926368733037,0.03583239034739214,0.1644151514070151,55.0474,19.660727161512064,1,L
10,-50.365700000000004,0.060720734003681325,2.7501639567051224,17.05847869188935,0.0877955951430947,0.08882533032157677,104.3657,21.280227161512066,1,L
11,-31.0561,0.11680337644792606,8.5593513423247,30.50179807627229,0.0514288103263757,0.16193952080044904,67.0561,22.675487840749724,2,L
12,-43.05200000000001,0.13431259153109645,7.732018449505388,23.3507537154183,0.06284797304496126,0.17876795629139422,91.052,24.791036330686495,2,L
13,-43.05200000000001,0.08488844328189712,4.917628285227584,25.90097115297736,0.07217980040241312,0.13058006876432166,91.052,27.043231960913843,2,L
14,-50.365700000000004,0.09747575699322623,4.872251577199288,20.43617280535735,0.07361574125052962,0.13194894203369448,104.3657,28.133756036108984,2,L
15,-55.0522,0.09756090451197542,3.9282815640454327,15.608558559146998,0.08511524169876915,0.12300293195650279,115.0522,32.11138689549877,2,L
16,-55.0522,0.07355662650941142,3.0344683443533462,17.39513256989705,0.0934819620021763,0.1043556453542765,115.0522,34.05724199721669,2,L
17,-55.0522,0.11334614888129614,4.356352673489059,15.020916157192199,0.09597193524176358,0.15380583142380916,115.0522,34.83934199721669,2,L
18,-61.0561,0.08116841608645099,2.2990826328830214,11.219170054338893,0.13510975774491718,0.11427383809590569,127.0561,36.4328415902222,2,L
19,-61.0561,0.07010610040830441,2.816699402057423,16.228332438411137,0.0863844387059931,0.08951205658766109,127.0561,37.501708962724514,2,L
20,-61.0561,0.0716197829015831,1.9321564507581372,11.939805499427095,0.1790309721755489,0.12725532877162413,127.0561,39.05249268115476,2,L
