,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,side,alpha,label,condition,condition-side,uniq-condition
p13.rsml,2.1078977500000318,5.8080306250000255,7.400265749999988,17.34685950000002,31.314217500000087,65.16228100000004,89.17920925000003,135.74955125000002,159.66974400000015,184.49176125000008,237.20012675000012,262.0829937500004,324.3135650000002,359.7577642499998,418.4528089999999,437.9793377499999,L,50,3,HH,HH-L,homo-high
p13.rsml,6.136463250000027,13.160708750000005,25.364204125000096,42.452062125000005,62.11511274999995,76.286083375,128.84700525000005,149.92130200000014,197.1227651249997,220.30573975000004,232.1152719999999,232.80334224999984,282.8187162499998,312.8410467500001,360.0167657499995,395.6653577499999,R,50,3,HH,HH-R,homo-high
p15.rsml,4.902305500000009,12.088817000000006,19.905669499999973,26.034331499999904,36.81097824999998,68.31866675000002,84.82299124999994,111.69205649999998,169.64286199999995,190.6407065,210.92395649999983,235.0766265000001,262.178169,291.53895350000005,310.4140778749998,338.7318352499999,L,50,1,LH,LH-L,hetero-low
p15.rsml,2.568951624999998,8.592296749999983,12.443773874999994,18.03805025000002,40.012611250000006,63.33600837500003,103.71293799999998,109.21359937499992,122.79011474999986,147.07306562500003,175.351036625,197.019788625,230.048720875,263.536366625,331.106113375,343.40868462500003,R,50,1,LH,LH-R,hetero-high
p21.rsml,6.759783125000089,8.730378875000083,28.599382499999976,37.39997262500009,52.51567462500007,68.94510712500002,88.72439637499994,114.438876625,150.44008512500005,176.5788326116501,216.111007625,250.645581125,285.67319362500007,330.8642746250002,384.3465241250001,406.08080662500015,L,50,1,LH,LH-L,hetero-low
p21.rsml,3.913106999999997,8.091456500000007,31.24244599999992,59.18028249999999,72.22085200000011,81.79298574999994,92.26382349999996,101.82581562499992,152.80152349999997,180.39922550000003,265.41958837500005,319.4440247500001,342.0138211250004,400.4170991249999,452.7018567500001,459.099661875,R,50,1,LH,LH-R,hetero-high
p26.rsml,2.8474562499999667,3.972396499999965,10.103398874999892,29.175894874999997,36.942039250000015,46.01411287500007,60.17026112500013,78.42908675000001,95.474037875,125.21240287499988,152.34202987499995,188.66855049999992,224.49657125,245.97731312499985,274.27244687499973,287.00642724999983,L,50,0,LL,LL-L,homo-low
p26.rsml,6.642764374999977,6.902546000000013,6.711415374999966,9.05803137499998,10.59331737500003,17.470119250000025,30.65969262500004,52.53049699999994,65.36121287500004,77.03110275000003,90.62478087499996,113.99966625000005,132.13133149999993,192.7954117500002,193.14178725000008,204.27339087499976,R,50,0,LL,LL-R,homo-low
p27.rsml,3.3592182499999943,9.250722249999958,10.775086499999958,25.768308875000017,47.48698887499995,74.00421775000007,131.57432225,206.05441625,249.12455783832516,285.7785105,423.73737574999984,450.2312008750001,483.9380617499999,513.1857281249997,498.3360487499998,512.5780107499999,L,50,1,LH,LH-L,hetero-low
p27.rsml,12.251863125000082,43.89295300000011,70.78230150000006,105.919911625,192.747824125,219.27597475,215.666336375,261.2896066249998,292.07177887499995,382.5873422499998,432.9022842499999,486.1450353750003,581.52233775,633.4685211250005,690.4098448750003,672.8172459999996,R,50,1,LH,LH-R,hetero-high
