,hit_hour,side
p13.rsml,139.0,L
p13.rsml,127.0,R
p15.rsml,163.0,L
p15.rsml,163.0,R
p21.rsml,139.0,L
p21.rsml,163.0,R
p26.rsml,,L
p26.rsml,,R
p27.rsml,139.0,L
p27.rsml,127.0,R
p31.rsml,115.0,L
p31.rsml,151.0,R
p32.rsml,151.0,L
p32.rsml,151.0,R
p33.rsml,115.0,L
p33.rsml,115.0,R
p37.rsml,127.0,L
p37.rsml,127.0,R
p38.rsml,,L
p38.rsml,,R
p39.rsml,163.0,L
p39.rsml,,R
p52.rsml,139.0,L
p52.rsml,151.0,R
p53.rsml,,L
p53.rsml,163.0,R
p54.rsml,163.0,L
p54.rsml,115.0,R
p59.rsml,,L
p59.rsml,,R
p60.rsml,163.0,L
p60.rsml,,R
p66.rsml,127.0,L
p66.rsml,151.0,R
p69.rsml,139.0,L
p69.rsml,139.0,R
p70.rsml,151.0,L
p70.rsml,151.0,R
p73.rsml,139.0,L
p73.rsml,151.0,R
p74.rsml,127.0,L
p74.rsml,,R
p77.rsml,139.0,L
p77.rsml,139.0,R
p78.rsml,104.0,L
p78.rsml,127.0,R
p85.rsml,139.0,L
p85.rsml,,R
p88.rsml,127.0,L
p88.rsml,127.0,R
p89.rsml,139.0,L
p89.rsml,151.0,R
p92.rsml,127.0,L
p92.rsml,115.0,R
p93.rsml,163.0,L
p93.rsml,127.0,R
p96.rsml,139.0,L
p96.rsml,139.0,R
p97.rsml,139.0,L
p97.rsml,139.0,R
p100.rsml,139.0,L
p100.rsml,151.0,R
p101.rsml,139.0,L
p101.rsml,127.0,R
p104.rsml,151.0,L
p104.rsml,,R
p105.rsml,127.0,L
p105.rsml,,R
p108.rsml,163.0,L
p108.rsml,151.0,R
p109.rsml,139.0,L
p109.rsml,151.0,R
p112.rsml,151.0,L
p112.rsml,163.0,R
p113.rsml,163.0,L
p113.rsml,,R
p116.rsml,,L
p116.rsml,163.0,R
p120.rsml,151.0,L
p120.rsml,151.0,R
p124.rsml,168.0,L
p124.rsml,,R
p127.rsml,127.0,L
p127.rsml,139.0,R
p128.rsml,139.0,L
p128.rsml,151.0,R
p131.rsml,139.0,L
p131.rsml,151.0,R
p132.rsml,,L
p132.rsml,163.0,R
