filename,condition,side,condition-side,P0_length,P1_length,P2_length,P01_length,P12_length,Ptotal_length,uniq-condition
p80.rsml,LH,R,LH-R,0.0,25.559252762210914,0.0,25.559252762210914,25.559252762210914,25.559252762210914,hetero-high
p87.rsml,LH,L,LH-L,3.0944454055391413,23.71476374662578,0.0,26.80920915216492,23.71476374662578,26.80920915216492,hetero-low
p87.rsml,LH,R,LH-R,0.0,30.871798810562403,0.0,30.871798810562403,30.871798810562403,30.871798810562403,hetero-high
p90.rsml,MM,L,MM-L,6.728186594598915,15.95303110619347,0.0,22.681217700792384,15.95303110619347,22.681217700792384,homo-medium
p90.rsml,MM,R,MM-R,4.2963935672009645,22.04759290651794,0.0,26.343986473718907,22.04759290651794,26.343986473718907,homo-medium
p91.rsml,LM,L,LM-L,5.699110837667348,23.941951155718932,0.0,29.64106199338628,23.941951155718932,29.64106199338628,hetero-low(medium)
p91.rsml,LM,R,LM-R,0.0,25.0566408307658,0.0,25.0566408307658,25.0566408307658,25.0566408307658,hetero-medium
p94.rsml,MM,L,MM-L,0.0,24.29281711374103,0.0,24.29281711374103,24.29281711374103,24.29281711374103,homo-medium
p94.rsml,MM,R,MM-R,2.68558288586038,26.20776415434478,0.0,28.89334704020516,26.20776415434478,28.89334704020516,homo-medium
p95.rsml,LM,L,LM-L,10.344767540239111,23.35943432178209,0.0,33.7042018620212,23.35943432178209,33.7042018620212,hetero-low(medium)
p95.rsml,LM,R,LM-R,1.907167416183471,27.560293241471967,0.0,29.467460657655437,27.560293241471967,29.467460657655437,hetero-medium
p98.rsml,MM,L,MM-L,11.260086872204823,21.774227485155926,0.0,33.03431435736075,21.774227485155926,33.03431435736075,homo-medium
p98.rsml,MM,R,MM-R,6.398984697154957,26.949919735158225,0.0,33.348904432313184,26.949919735158225,33.348904432313184,homo-medium
p102.rsml,MM,L,MM-L,26.453804848628554,0.7494598054599102,0.0,27.203264654088464,0.7494598054599102,27.203264654088464,homo-medium
p102.rsml,MM,R,MM-R,0.0,17.343972655938863,0.0,17.343972655938863,17.343972655938863,17.343972655938863,homo-medium
p103.rsml,LM,L,LM-L,7.023449745213963,23.84825498209104,0.0,30.871704727305,23.84825498209104,30.871704727305,hetero-low(medium)
p103.rsml,LM,R,LM-R,2.5752710911757446,24.25822245517516,0.0,26.833493546350905,24.25822245517516,26.833493546350905,hetero-medium
p106.rsml,MM,L,MM-L,3.542304871661261,21.19981304300898,0.0,24.742117914670242,21.19981304300898,24.742117914670242,homo-medium
p106.rsml,MM,R,MM-R,1.9945043956394466,24.033455373842234,0.0,26.02795976948168,24.033455373842234,26.02795976948168,homo-medium
p110.rsml,MM,L,MM-L,3.603776538192362,26.147564477911754,0.0,29.751341016104117,26.147564477911754,29.751341016104117,homo-medium
p110.rsml,MM,R,MM-R,0.0,26.452567265928753,0.0,26.452567265928753,26.452567265928753,26.452567265928753,homo-medium
p111.rsml,ML,L,ML-L,8.431403939752386,21.225533422612912,0.0,29.656937362365298,21.225533422612912,29.656937362365298,hetero-medium
p111.rsml,ML,R,ML-R,0.0,22.434246635820834,0.0,22.434246635820834,22.434246635820834,22.434246635820834,hetero-low(medium)
p114.rsml,MM,L,MM-L,0.0,16.067138165947394,0.0,16.067138165947394,16.067138165947394,16.067138165947394,homo-medium
p114.rsml,MM,R,MM-R,0.0,22.14431773175863,0.0,22.14431773175863,22.14431773175863,22.14431773175863,homo-medium
p115.rsml,LM,L,LM-L,0.0,16.179375231646233,0.0,16.179375231646233,16.179375231646233,16.179375231646233,hetero-low(medium)
p115.rsml,LM,R,LM-R,0.0,22.78956129769926,0.0,22.78956129769926,22.78956129769926,22.78956129769926,hetero-medium
p119.rsml,ML,L,ML-L,4.72186112671688,16.582078790106316,0.0,21.303939916823197,16.582078790106316,21.303939916823197,hetero-medium
p119.rsml,ML,R,ML-R,4.659158534542474,18.536789594933612,0.0,23.195948129476086,18.536789594933612,23.195948129476086,hetero-low(medium)
p125.rsml,MM,L,MM-L,3.156368636717551,18.6330867147857,0.0,21.789455351503253,18.6330867147857,21.789455351503253,homo-medium
p125.rsml,MM,R,MM-R,0.0,21.113319554496726,0.0,21.113319554496726,21.113319554496726,21.113319554496726,homo-medium
p126.rsml,ML,L,ML-L,0.0,18.58705726384197,0.0,18.58705726384197,18.58705726384197,18.58705726384197,hetero-medium
p126.rsml,ML,R,ML-R,0.0,20.564034181040423,0.0,20.564034181040423,20.564034181040423,20.564034181040423,hetero-low(medium)
p129.rsml,MM,L,MM-L,1.310802791099532,16.05223249160148,0.0,17.363035282701013,16.05223249160148,17.363035282701013,homo-medium
p129.rsml,MM,R,MM-R,0.0,15.160504946721945,0.0,15.160504946721945,15.160504946721945,15.160504946721945,homo-medium
p130.rsml,ML,L,ML-L,4.784320698134802,16.57130927186995,0.0,21.355629970004752,16.57130927186995,21.355629970004752,hetero-medium
p130.rsml,ML,R,ML-R,1.9487805446414468,17.30232380399043,0.0,19.251104348631877,17.30232380399043,19.251104348631877,hetero-low(medium)
