,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,side,alpha,label,condition,condition-side,uniq-condition
p04.rsml,5.403925874999989,8.029826624999988,15.63526525,49.308580750000125,69.86643475000011,84.5600891250001,115.26112837499994,180.971057125,197.58459912499984,276.40686887499976,313.363262425,345.5431066250002,421.2202244250001,459.4157685250004,483.5425383749998,509.4099231250002,L,50,3,HH,HH-L,homo-high
p04.rsml,9.55497099999996,21.619604124999988,29.981763999999966,33.868346749999915,46.049218499999945,71.11463475000001,126.76719199999994,153.03712124999996,234.448625875,317.4781097499998,338.0390842500002,497.9467663750003,572.6226717500002,612.9442125000005,643.0172511249996,661.23238975,R,50,3,HH,HH-R,homo-high
p05.rsml,25.804974749999914,35.14385112499994,46.53055562500001,71.86199450000004,112.69965970900004,158.23353387499998,200.25262662499992,276.4224713749998,311.2776762500001,336.5264218750001,369.3330185000001,422.4743533750002,444.6579878750001,469.122707875,483.0182943749996,502.0096573749999,L,50,0,LL,LL-L,homo-low
p05.rsml,15.219458624999955,19.949356499999958,24.095720874999905,35.13995050000002,53.49395137499981,96.498342,124.965883375,156.59137075000004,201.1700536250003,222.35902875000008,257.1174981250005,271.3235743750003,269.0690131250005,285.72312162500003,306.38785275000004,337.2168325000003,R,50,0,LL,LL-R,homo-low
p06.rsml,3.789067125000031,4.111258750000038,6.61624012500006,8.956615125000088,22.042431875000027,34.823999874999984,58.39859725000004,79.36289637500002,132.91223662500002,165.3279906249998,195.7864109999999,223.39035399999975,270.2906888749999,293.98464537499973,347.948232,365.8185553750001,L,50,2,HL,HL-L,hetero-high
p06.rsml,8.050890000000077,8.300530000000062,9.093137000000045,12.65674800000006,20.26218662499999,39.04057549999994,69.62615624999987,61.11655274999988,76.60281412499982,95.19241274999992,154.24787524999977,173.66674674999965,197.7024003403749,206.02815693044997,235.14761787499992,242.3583132499997,R,50,2,HL,HL-R,hetero-low
p10.rsml,11.14330550000006,25.23236299999995,32.262849499999966,58.76057524999993,77.96101175000001,117.35420375000002,150.958880732,251.56845667402496,273.72713950000013,309.74551074999994,354.16582825,382.6006043750003,474.2910360000003,536.6084298576504,612.8318899984939,651.7647929580437,L,50,3,HH,HH-L,homo-high
p10.rsml,4.031686000000047,8.940232500000112,21.82165650000011,31.389109500000146,37.589543000000106,56.70884650000015,73.29430399999997,101.05115149999992,161.3953801879501,255.3037071879501,283.0098465629501,336.50379793795,377.8153173129498,420.7198519379504,458.41237143795,457.53005006295,R,50,3,HH,HH-R,homo-high
p11.rsml,7.683451125000037,16.176671999999975,23.96231949999997,48.86234924999995,63.73621250000005,72.3316297500001,96.97733875000006,126.28195424999976,157.2724198750001,181.356438875,197.19219625000005,224.62763224999983,252.08725212500005,283.782170625,322.9912531249998,341.1143369999998,L,50,0,LL,LL-L,homo-low
p11.rsml,6.987579625000036,11.797050249999968,15.884125125000084,19.619363625,30.61444537499998,63.211188375000006,126.18599887500032,175.69663200000014,209.91759525000015,225.8399465000001,296.7340411606998,313.8216638750001,408.3720337500002,426.0059792499999,444.6868525,492.4297223749998,R,50,0,LL,LL-R,homo-low
p17.rsml,5.336055000000038,10.966997250000023,14.076575500000024,29.660352499999934,76.14956149999999,110.04911325000006,120.48585797724996,194.93295425,254.8091082500001,290.266569625,329.4709713750001,371.474461625,425.1626641250001,485.639514375,529.4466536250001,554.529232625,L,50,0,LL,LL-L,homo-low
p17.rsml,6.651345750000009,13.454035750000056,32.673195249999935,46.83714474999989,54.13911474999997,102.32743599999998,185.23756075000017,208.9830054999999,235.22953099999972,254.7201739999999,285.4368157500001,302.26567225,319.7303306250001,334.9279457500001,358.20453537499986,375.755787625,R,50,0,LL,LL-R,homo-low
p22.rsml,3.702473250000039,25.084919375000062,39.96892425000013,53.30282075000008,86.08367325000002,98.95105499999995,164.62665825000002,237.88819700000008,289.17751512500007,348.25950187500047,399.9716477500001,439.9273098749999,503.6658627500002,539.5133866250004,593.5105186249993,624.3980077500003,L,50,3,HH,HH-L,homo-high
p22.rsml,12.31973400000005,31.9695225,41.015852,101.86872249999996,145.7788382500002,248.9441284999997,361.3819844999999,447.4172900000001,474.70138175,437.66962812499975,487.97813799437466,630.1834147500005,701.9595955,736.8561470000004,824.8487861250005,871.2061540000014,R,50,3,HH,HH-R,homo-high
p23.rsml,0.230916999999998,3.9115467499999816,5.663707500000019,31.400811375000007,41.61810850000002,42.016752375000095,56.83366650000004,71.94078712500007,93.89818537500008,117.17555512499992,146.22506975000002,166.3749183750002,185.02926737500005,210.22496449999997,228.2552135,240.64437862500003,L,50,0,LL,LL-L,homo-low
p23.rsml,4.811810999999954,4.9116669999999605,8.286487749999994,26.186455874999943,35.23746612499987,52.027316375,64.27059812499994,81.46533325000001,101.12448324999993,109.69025574999992,131.39645374999998,155.77379975,222.50569224999992,264.00834225000017,285.6022022500002,295.63617,R,50,0,LL,LL-R,homo-low
p29.rsml,11.190112999999938,14.227919749999952,18.87278399999996,33.38466924999993,47.7514512500001,65.95098737500001,79.06566875000003,93.93563137500011,108.05121312499996,127.384270875,138.30212024999997,167.64730225000002,196.5002253749999,233.14347674999988,249.81162750000004,254.23493625,L,50,0,LL,LL-L,homo-low
p29.rsml,21.807614249999997,26.62410600000004,32.14583075000009,46.335524375000034,51.48668975000007,56.76267512499999,68.60653287499996,76.14800124999988,75.40766262499999,90.43443037499998,101.04491050000009,138.69608337500006,158.6298373750002,174.3852418750003,181.166088375,192.6214438750001,R,50,0,LL,LL-R,homo-low
p30.rsml,5.886823250000017,8.982359249999947,39.73800724999988,70.04820387499997,93.15238587500012,94.84447700000004,141.54978062500007,171.93955000000022,325.21070875,356.53194737499985,388.77451362499977,425.7898846249995,465.7010796250001,546.2287026250002,579.0103352499999,585.9628092500002,L,50,2,HL,HL-L,hetero-high
p30.rsml,15.048611249999992,25.03187087499992,42.983327250000016,59.609351249999946,95.60353862500008,182.64052462499976,277.90158837499973,456.4144716249999,465.6620733749999,498.67618325,524.160526625,554.0627178749997,513.0671491250001,560.1718767499999,613.5706528750001,648.2300463749999,R,50,2,HL,HL-R,hetero-low
p34.rsml,8.416768625000024,12.899366875000052,24.98272300000003,32.38454900000002,37.10586550000007,42.6868797500001,46.09602600000001,74.27414099999996,92.88792350000004,126.4707445,146.64945774999995,170.13590100000016,201.77465050000015,237.5106165,277.99442325000035,301.914616,L,50,3,HH,HH-L,homo-high
p34.rsml,6.275325500000005,17.08161700000001,25.619305000000008,42.226606000000025,48.59398625000003,62.55822375000015,92.60707850000014,125.7842345,165.43798825000016,240.041342,264.42804950000016,288.50426725000005,305.55467925000033,316.47486900000024,287.7561273750003,307.4269792500004,R,50,3,HH,HH-R,homo-high
p35.rsml,5.788527500000031,14.338697500000064,20.396368125000063,30.49586637500012,35.60412487500001,38.57224461899988,68.73291312500005,112.25000580062502,154.94172622624995,192.6807045103749,220.986912914875,249.1666756949,286.35502287500015,327.5900899999999,392.66733737499993,405.6423763749997,L,50,0,LL,LL-L,homo-low
p35.rsml,2.5361863750000087,4.059770499999996,8.957395249999937,13.564033375000022,18.315774750000006,38.006909875000005,60.41366012500002,73.96287112500009,83.84627474999994,92.05006925000004,100.18365250000012,102.776788,110.43293475000009,126.164155375,136.94782325000006,143.29726062500004,R,50,0,LL,LL-R,homo-low
p44.rsml,4.866419750000012,5.596616750000018,7.163107750000005,8.76314412499999,20.033609999999985,43.67685837499992,53.06722299999984,58.45476624999991,63.20572750000001,75.66744425000006,88.96857550000001,107.65268252415008,135.4765075,170.31064900000015,196.69759700000023,208.83322150000012,L,50,0,LL,LL-L,homo-low
p44.rsml,3.309290250000033,10.277366750000091,21.242803750000117,27.68039525000013,36.27503237500011,39.77623337500007,55.590303274999954,90.60995849999992,113.85612325000004,121.82119949999984,118.58680124999984,149.2191895,174.87750074999994,191.77968899999996,216.8716294999998,228.3137228749998,R,50,0,LL,LL-R,homo-low
p45.rsml,2.50966212500002,7.405726625000051,17.715858625000063,24.840740250000028,45.358027749999984,70.01933925000003,105.2981520000002,132.56820150000004,224.7540125,293.31919875000006,356.0084835000001,452.1908748749995,483.2429703749997,583.866613375,648.3665682500002,684.0611876249998,L,50,2,HL,HL-L,hetero-high
p45.rsml,6.439151749999924,7.159987249999926,23.470840749999898,28.99568599999996,46.8784913750002,66.39721887499996,86.38168099999982,108.48886324999977,136.3276238749999,154.911761625,172.4091852500001,197.54871337499983,216.58220312500004,263.93657075000027,319.38317500000034,340.98405612499994,R,50,2,HL,HL-R,hetero-low
p49.rsml,14.99556275,23.141628000000075,83.94925124999996,112.53303125000002,140.61285050000004,162.88853974999984,199.4529985,236.04164112500007,252.42582637500013,341.65964437499986,374.72056175,409.8566116249999,467.5756772491496,544.5545565593499,603.9860371249999,634.1893566250003,L,50,3,HH,HH-L,homo-high
p49.rsml,30.54501425,40.43231849999994,80.29514575000005,129.27451375000012,182.6210215,229.5814259999997,193.55525349999976,214.42438174369985,259.90878537499987,283.97330125000025,318.2808583750003,417.2241121250001,459.26036762499984,474.2333067499997,433.52092337499977,477.0745219999999,R,50,3,HH,HH-R,homo-high
p50.rsml,2.703133124999994,6.906446624999967,15.97539975,25.83149899999988,33.4860854999999,38.82136037499986,45.998510374999846,68.64631924999983,83.29238599999987,100.3006712499999,121.909353625,137.0406581250001,151.9215425000001,169.48917737499983,192.10422100000005,208.41897512500003,L,50,0,LL,LL-L,homo-low
p50.rsml,10.25708349999996,12.363421000000008,15.53774962499998,40.06956037500006,73.92308474999983,80.2412821753998,89.42258016549985,83.99302219144994,104.44555276339985,116.29635424999996,154.49751525000002,184.908348,209.72490437499997,211.5550776249999,240.70288799999972,251.64180075000007,R,50,0,LL,LL-R,homo-low
p51.rsml,3.148584500000012,5.460875000000031,34.15153212500001,44.50925175000002,67.98009249999987,92.28176637499996,104.24498324999998,124.86524725,151.15467962499986,202.7529272500001,271.521726125,321.64007662500023,340.8678175000004,393.74781050000007,440.5506297500002,468.30123625000056,L,50,2,HL,HL-L,hetero-high
p51.rsml,3.356877874999981,4.092535749999989,7.074173499999972,9.64156487499993,14.49940324999988,37.598904499999975,72.60233312499983,108.53957137499984,148.65437900000018,167.2275949999999,175.44855224999986,180.84623712500004,184.56587312499997,190.323195625,192.482581625,193.601280875,R,50,2,HL,HL-R,hetero-low
p55.rsml,2.707813875000008,3.7032533749999943,9.02370587499998,19.35334100000009,34.833361375000024,61.255415000000056,99.54473012500011,143.29960100000005,219.70582362499985,278.3267565000002,336.1215369999999,378.82167887500015,466.2596491250004,529.1502061250002,611.6328223750003,638.0657977500006,L,50,3,HH,HH-L,homo-high
p55.rsml,4.481037999999987,28.621225999999982,66.69132600000007,79.37459825000002,91.20597400000008,98.21071637499996,105.31063399999992,132.133671875,161.70509012499994,249.96531212500025,281.66803187499977,291.75426799999985,349.60131687499955,417.96133025,465.0247112499998,494.32620624999976,R,50,3,HH,HH-R,homo-high
p56.rsml,6.3634796250000125,15.59391862499999,18.60208062499999,22.224201,41.86618825,61.994973500000114,86.59855574999995,94.54646925000024,121.55595700000008,170.0087406249999,195.593720125,227.97670887499996,300.1093418436001,327.100951625,371.046953125,388.077862,L,50,0,LL,LL-L,homo-low
p56.rsml,7.217716500000044,18.679312999999965,33.842602625000126,39.57028037500005,46.75523162499994,57.19096375000007,58.44306437499999,65.36823400000011,75.15022137500006,92.291908,118.20688037500014,149.31670512499994,170.1265395000002,192.6932153750001,246.21837175000016,264.78924737499995,R,50,0,LL,LL-R,homo-low
p61.rsml,16.626024000000044,17.555933000000042,25.98128300000005,38.610726625000055,57.0060741250001,75.10731449999997,115.57161812500028,132.0775028750001,155.73869412499997,206.0629976249998,238.38045587500008,285.9267342500001,319.4539014445502,383.0603643866936,431.0580689580437,457.74848558304336,L,50,3,HH,HH-L,homo-high
p61.rsml,6.015543875000011,16.75162412500002,26.547653749999945,91.61631974999996,104.63816625,178.264023375,147.00632842764995,176.22945737500004,231.88903574999983,272.2066758749998,315.9997728749997,349.72379649999965,349.20969412499954,384.46510312499976,424.0751698750001,444.5885567499998,R,50,3,HH,HH-R,homo-high
