,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,label,condition,side,condition-side,uniq-condition
p111.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,8.0,16.0,18.0,23.0,26.0,26.0,5,ML,L,ML-L,hetero-medium
p114.rsml,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,5.0,7.0,9.0,12.0,18.0,20.0,20.0,6,MM,L,MM-L,homo-medium
p115.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,LM,L,LM-L,hetero-low(medium)
p119.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,8.0,15.0,18.0,21.0,23.0,24.0,24.0,5,ML,L,ML-L,hetero-medium
p125.rsml,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,8.0,15.0,16.0,20.0,23.0,23.0,23.0,6,MM,L,MM-L,homo-medium
p126.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,10.0,12.0,16.0,20.0,23.0,26.0,26.0,5,ML,L,ML-L,hetero-medium
p129.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0,9.0,11.0,13.0,18.0,20.0,20.0,6,MM,L,MM-L,homo-medium
p130.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,9.0,13.0,18.0,20.0,24.0,24.0,24.0,5,ML,L,ML-L,hetero-medium
p04.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,10.0,13.0,15.0,18.0,18.0,20.0,3,HH,R,HH-R,homo-high
p05.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,9.0,12.0,13.0,13.0,13.0,0,LL,R,LL-R,homo-low
p06.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,8.0,8.0,8.0,2,HL,R,HL-R,hetero-low
p10.rsml,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,6.0,8.0,13.0,15.0,19.0,22.0,22.0,22.0,3,HH,R,HH-R,homo-high
p11.rsml,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,7.0,8.0,9.0,9.0,14.0,14.0,14.0,0,LL,R,LL-R,homo-low
p17.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,10.0,12.0,13.0,15.0,18.0,18.0,18.0,0,LL,R,LL-R,homo-low
p22.rsml,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,11.0,13.0,18.0,20.0,25.0,28.0,31.0,31.0,3,HH,R,HH-R,homo-high
p23.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,13.0,14.0,15.0,19.0,19.0,19.0,0,LL,R,LL-R,homo-low
p29.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,6.0,8.0,9.0,10.0,10.0,10.0,0,LL,R,LL-R,homo-low
p30.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,7.0,9.0,15.0,20.0,25.0,27.0,27.0,2,HL,R,HL-R,hetero-low
p34.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,9.0,11.0,13.0,17.0,17.0,17.0,3,HH,R,HH-R,homo-high
p35.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,7.0,0,LL,R,LL-R,homo-low
p44.rsml,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,10.0,12.0,12.0,12.0,13.0,13.0,0,LL,R,LL-R,homo-low
p45.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,13.0,14.0,18.0,20.0,20.0,20.0,2,HL,R,HL-R,hetero-low
p49.rsml,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,10.0,10.0,14.0,15.0,15.0,19.0,19.0,19.0,3,HH,R,HH-R,homo-high
p50.rsml,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,9.0,9.0,11.0,11.0,12.0,13.0,13.0,13.0,0,LL,R,LL-R,homo-low
p51.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,HL,R,HL-R,hetero-low
p55.rsml,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,8.0,12.0,13.0,18.0,18.0,21.0,21.0,21.0,3,HH,R,HH-R,homo-high
p56.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,7.0,11.0,12.0,13.0,15.0,15.0,15.0,0,LL,R,LL-R,homo-low
p61.rsml,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,9.0,9.0,11.0,12.0,15.0,17.0,17.0,17.0,3,HH,R,HH-R,homo-high
p62.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,6.0,8.0,9.0,10.0,10.0,11.0,11.0,0,LL,R,LL-R,homo-low
p71.rsml,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,12.0,14.0,15.0,18.0,19.0,20.0,20.0,20.0,3,HH,R,HH-R,homo-high
p72.rsml,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,14.0,20.0,22.0,24.0,25.0,25.0,25.0,1,LH,R,LH-R,hetero-high
p76.rsml,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,12.0,13.0,17.0,19.0,25.0,28.0,28.0,28.0,1,LH,R,LH-R,hetero-high
p80.rsml,0.0,0.0,0.0,0.0,1.0,2.0,6.0,9.0,16.0,17.0,22.0,24.0,29.0,34.0,35.0,35.0,1,LH,R,LH-R,hetero-high
p87.rsml,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,13.0,15.0,19.0,23.0,25.0,27.0,27.0,27.0,1,LH,R,LH-R,hetero-high
p90.rsml,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,7.0,8.0,9.0,11.0,18.0,19.0,20.0,20.0,6,MM,R,MM-R,homo-medium
p91.rsml,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,10.0,14.0,19.0,22.0,27.0,34.0,34.0,34.0,4,LM,R,LM-R,hetero-medium
p94.rsml,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,9.0,11.0,13.0,13.0,14.0,18.0,19.0,19.0,6,MM,R,MM-R,homo-medium
p95.rsml,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,11.0,15.0,20.0,24.0,33.0,35.0,37.0,37.0,4,LM,R,LM-R,hetero-medium
p98.rsml,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,12.0,20.0,23.0,28.0,31.0,31.0,31.0,6,MM,R,MM-R,homo-medium
p102.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,8.0,12.0,13.0,19.0,23.0,27.0,27.0,6,MM,R,MM-R,homo-medium
p103.rsml,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0,15.0,16.0,20.0,24.0,30.0,34.0,34.0,35.0,4,LM,R,LM-R,hetero-medium
p106.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,9.0,14.0,15.0,18.0,23.0,27.0,27.0,6,MM,R,MM-R,homo-medium
p110.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,10.0,15.0,21.0,22.0,23.0,24.0,24.0,6,MM,R,MM-R,homo-medium
p111.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,7.0,9.0,12.0,16.0,16.0,16.0,5,ML,R,ML-R,hetero-low(medium)
p114.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,10.0,12.0,15.0,15.0,15.0,6,MM,R,MM-R,homo-medium
p115.rsml,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,11.0,15.0,15.0,17.0,17.0,17.0,17.0,4,LM,R,LM-R,hetero-medium
p119.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,7.0,8.0,9.0,9.0,5,ML,R,ML-R,hetero-low(medium)
p125.rsml,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,7.0,10.0,16.0,18.0,22.0,22.0,22.0,6,MM,R,MM-R,homo-medium
p126.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,7.0,8.0,10.0,10.0,10.0,5,ML,R,ML-R,hetero-low(medium)
p129.rsml,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,8.0,11.0,13.0,15.0,18.0,24.0,24.0,24.0,6,MM,R,MM-R,homo-medium
p130.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,8.0,9.0,9.0,9.0,5,ML,R,ML-R,hetero-low(medium)
