,root_idx,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,side,label,condition,condition-side,uniq-condition
0,p04.rsml,21.41972494407859,22.947069553503386,25.616938588832046,28.503094224867326,33.960295863109636,38.94424845486981,44.778404501129984,51.30755195330813,57.15419092028226,64.08110419294599,70.92629410204643,78.09009417635711,85.76909911937553,91.07778585372995,91.18950872515742,91.18950872515742,L,3,HH,HH-L,homo-high
1,p04.rsml,16.909224014162312,18.737550451964054,21.369744137275628,25.777184390251414,29.545955495086282,35.05330424142328,39.318949930484564,44.7872418892704,50.33004612640459,56.1593469880185,62.878958738551816,70.41958881286078,76.73296260437303,85.15322776424465,91.8967083714748,91.8967083714748,R,3,HH,HH-R,homo-high
2,p05.rsml,27.86000064141208,29.71943980417057,31.00546663126244,34.27875689278007,37.840566214843,43.64423845310493,49.08546530880757,54.83528333005593,60.388038795173074,66.8068946366597,72.75890765406197,78.7445066709878,83.9476702250621,89.60400209807173,89.99900209807174,89.99900209807174,L,0,LL,LL-L,homo-low
3,p05.rsml,26.403442755538038,27.82544275553804,28.773442755538042,30.936775770631375,34.729291613636896,39.77927996527225,44.786406562368995,50.246648869537665,55.15380778571153,61.14927960085126,66.93021081908749,72.38270096599284,75.67626539372468,82.03217215421397,85.74746955503697,87.26140721887919,R,0,LL,LL-R,homo-low
4,p06.rsml,14.184739233459839,15.373026341022655,17.414019800530102,21.019187523353533,25.457080983067392,31.045807758100867,36.55095423447002,43.407410757883966,50.15912747773385,57.12991133952188,64.4094755570867,72.12548638804279,79.92269440975184,83.93714828907504,83.93714828907504,83.93714828907504,L,2,HL,HL-L,hetero-high
5,p06.rsml,24.70218488177531,25.876604312813473,26.80127560576032,28.387371494300687,31.97487702370911,36.76829587125759,41.16874250684416,47.52173160211796,52.04882278523273,58.27214761133353,63.28891728643729,69.25245969197951,74.82475494331504,80.60350800700665,83.32342757347075,83.32342757347075,R,2,HL,HL-R,hetero-low
6,p10.rsml,26.613071015519132,29.232542000793707,32.93554619192925,37.38012017639063,42.65599625260593,48.46416910298679,53.84531812198323,60.26472579635466,66.60528975777603,73.63934114753282,79.91746287108327,87.24428599237702,90.94638419130379,90.98362701091308,91.02086983052237,91.05810706356915,L,3,HH,HH-L,homo-high
7,p10.rsml,13.804056985781873,15.774654466671809,19.637000204738296,23.71260103026336,28.803087730613417,34.406411973220116,40.45861054380904,47.59485012240703,53.92238706582877,61.214277631366144,66.76617555891795,73.28559042913444,79.28972036193903,80.71226886726319,81.2257688672632,81.2652688672632,R,3,HH,HH-R,homo-high
8,p11.rsml,21.397878080548203,22.59336501063151,25.042365010631507,27.198645372736586,31.322268807705463,36.1718400195751,40.537244002032395,45.32286937465182,49.780421467631776,55.245280130767846,60.28232647879113,66.03078963557864,71.07651683238737,76.43757051239686,80.70493217670726,82.43031822046675,L,0,LL,LL-L,homo-low
9,p11.rsml,20.79792609763006,22.338855251966482,23.273300994821433,24.974085449440313,28.805531948515878,33.57350254345001,37.10609872256816,41.44561711186698,45.509644511962364,50.50634957714483,55.54903848488881,60.88926058151217,65.16188994897033,70.07025890117652,74.20328794808714,75.94845498880272,R,0,LL,LL-R,homo-low
