,hit_hour,side
p04.rsml,165.0,L
p04.rsml,159.0,R
p05.rsml,,L
p05.rsml,,R
p06.rsml,,L
p06.rsml,,R
p07.rsml,,L
p07.rsml,159.0,R
p08.rsml,165.0,L
p08.rsml,159.0,R
p09.rsml,,L
p09.rsml,,R
p10.rsml,,L
p10.rsml,,R
p11.rsml,,L
p11.rsml,172.0,R
p12.rsml,172.0,L
p12.rsml,,R
p13.rsml,,L
p13.rsml,,R
p14.rsml,147.0,L
p14.rsml,,R
p15.rsml,,L
p15.rsml,147.0,R
p16.rsml,,L
p16.rsml,172.0,R
p17.rsml,,L
p17.rsml,,R
p18.rsml,,L
p18.rsml,,R
p20.rsml,153.0,L
p20.rsml,159.0,R
p21.rsml,,L
p21.rsml,,R
p22.rsml,159.0,L
p22.rsml,,R
p23.rsml,,L
p23.rsml,147.0,R
p24.rsml,159.0,L
p24.rsml,165.0,R
p25.rsml,,L
p25.rsml,,R
p26.rsml,,L
p26.rsml,,R
p27.rsml,,L
p27.rsml,165.0,R
p28.rsml,,L
p28.rsml,172.0,R
p29.rsml,,L
p29.rsml,,R
p31.rsml,,L
p31.rsml,172.0,R
p36.rsml,165.0,L
p36.rsml,153.0,R
p37.rsml,,L
p37.rsml,,R
p39.rsml,,L
p39.rsml,147.0,R
p40.rsml,159.0,L
p40.rsml,,R
p44.rsml,,L
p44.rsml,,R
p45.rsml,159.0,L
p45.rsml,,R
p48.rsml,,L
p48.rsml,,R
p49.rsml,165.0,L
p49.rsml,,R
p50.rsml,,L
p50.rsml,172.0,R
p51.rsml,,L
p51.rsml,147.0,R
p52.rsml,,L
p52.rsml,,R
p53.rsml,,L
p53.rsml,,R
p56.rsml,,L
p56.rsml,,R
p57.rsml,172.0,L
p57.rsml,,R
p58.rsml,,L
p58.rsml,172.0,R
p59.rsml,153.0,L
p59.rsml,147.0,R
p60.rsml,,L
p60.rsml,,R
p62.rsml,,L
p62.rsml,147.0,R
p63.rsml,159.0,L
p63.rsml,153.0,R
p64.rsml,,L
p64.rsml,,R
p65.rsml,172.0,L
p65.rsml,,R
p66.rsml,,L
p66.rsml,147.0,R
p68.rsml,153.0,L
p68.rsml,147.0,R
p69.rsml,165.0,L
p69.rsml,,R
p72.rsml,165.0,L
p72.rsml,,R
p73.rsml,159.0,L
p73.rsml,,R
p74.rsml,,L
p74.rsml,147.0,R
