,0,6,12,21,24,30,45,46,53,69,70,77,83,93,100,118,147,148,153,159,165,172,label,condition,side,condition-side,uniq-condition
p29.rsml,0.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,7.0,7.0,8.0,9.0,9.0,10.0,11.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,0,LL,L,LL-L,homo-low
p31.rsml,0.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,7.0,7.0,7.0,8.0,9.0,10.0,11.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,1,LH,L,LH-L,hetero-low
p36.rsml,0.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,6.0,9.0,10.0,11.0,11.0,14.0,17.0,19.0,19.0,20.0,21.0,23.0,23.0,3,HH,L,HH-L,homo-high
p37.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,6.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,LL,L,LL-L,homo-low
p39.rsml,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,LH,L,LH-L,hetero-low
p40.rsml,0.0,0.0,0.0,2.0,2.0,3.0,3.0,5.0,8.0,8.0,9.0,9.0,11.0,11.0,14.0,17.0,20.0,20.0,20.0,21.0,21.0,23.0,3,HH,L,HH-L,homo-high
p44.rsml,0.0,1.0,2.0,3.0,3.0,5.0,6.0,8.0,10.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,16.0,16.0,16.0,18.0,18.0,18.0,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,1.0,2.0,3.0,5.0,5.0,6.0,8.0,8.0,9.0,10.0,14.0,15.0,17.0,22.0,23.0,23.0,25.0,25.0,25.0,25.0,2,HL,L,HL-L,hetero-high
p48.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,8.0,9.0,9.0,0,LL,L,LL-L,homo-low
p49.rsml,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,7.0,9.0,9.0,11.0,12.0,14.0,17.0,20.0,20.0,20.0,20.0,20.0,23.0,2,HL,L,HL-L,hetero-high
p50.rsml,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,11.0,1,LH,L,LH-L,hetero-low
p51.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,6.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,13.0,3,HH,L,HH-L,homo-high
p52.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,6.0,7.0,7.0,7.0,10.0,12.0,14.0,14.0,15.0,15.0,15.0,17.0,0,LL,L,LL-L,homo-low
p53.rsml,0.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,5.0,6.0,7.0,8.0,8.0,11.0,12.0,15.0,16.0,16.0,17.0,17.0,19.0,19.0,2,HL,L,HL-L,hetero-high
p56.rsml,0.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,0,LL,L,LL-L,homo-low
p57.rsml,0.0,0.0,0.0,2.0,2.0,4.0,5.0,6.0,8.0,8.0,8.0,9.0,11.0,14.0,17.0,23.0,25.0,25.0,26.0,27.0,29.0,29.0,2,HL,L,HL-L,hetero-high
p58.rsml,0.0,1.0,1.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,1,LH,L,LH-L,hetero-low
p59.rsml,0.0,1.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,10.0,11.0,12.0,12.0,16.0,24.0,26.0,26.0,28.0,30.0,30.0,33.0,3,HH,L,HH-L,homo-high
p60.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,LL,L,LL-L,homo-low
p62.rsml,0.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,12.0,12.0,14.0,15.0,15.0,15.0,1,LH,L,LH-L,hetero-low
p63.rsml,0.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,14.0,17.0,20.0,20.0,20.0,21.0,23.0,23.0,3,HH,L,HH-L,homo-high
p64.rsml,0.0,0.0,0.0,1.0,1.0,4.0,4.0,5.0,5.0,8.0,10.0,10.0,10.0,11.0,13.0,15.0,18.0,18.0,22.0,22.0,23.0,23.0,0,LL,L,LL-L,homo-low
p65.rsml,0.0,1.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,7.0,12.0,14.0,14.0,15.0,19.0,27.0,29.0,29.0,30.0,30.0,30.0,35.0,2,HL,L,HL-L,hetero-high
p66.rsml,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,6.0,8.0,11.0,11.0,11.0,12.0,14.0,17.0,17.0,17.0,17.0,17.0,19.0,1,LH,L,LH-L,hetero-low
